id	dtime	proportion_wet	ice_concentration
23500	2015-05-20T08:00:00Z	0	100
23500	2015-05-20T10:00:00Z	0	100
23500	2015-05-20T12:00:00Z	0.01278	100
23500	2015-05-20T14:00:00Z	0	100
23500	2015-05-20T16:00:00Z	0	100
23500	2015-05-20T18:00:00Z	0	100
23500	2015-05-20T20:00:00Z	0	100
23500	2015-05-20T22:00:00Z	0	100
23500	2015-05-21T00:00:00Z	0	100
23500	2015-05-21T02:00:00Z	0	100
23500	2015-05-21T04:00:00Z	0.00528	100
23500	2015-05-21T06:00:00Z	0	100
23500	2015-05-21T08:00:00Z	0	100
23500	2015-05-21T10:00:00Z	0	100
23500	2015-05-21T12:00:00Z	0.01347	100
23500	2015-05-21T14:00:00Z	0	100
23500	2015-05-21T16:00:00Z	0	100
23500	2015-05-21T18:00:00Z	0	100
23500	2015-05-21T20:00:00Z	0	100
23500	2015-05-21T22:00:00Z	0	100
23500	2015-05-22T00:00:00Z	0	100
23500	2015-05-22T02:00:00Z	0	100
23500	2015-05-22T04:00:00Z	0	100
23500	2015-05-22T06:00:00Z	0.001665	100
23500	2015-05-22T08:00:00Z	0	100
23500	2015-05-22T10:00:00Z	0	100
23500	2015-05-22T12:00:00Z	0	100
23500	2015-05-22T14:00:00Z	0	100
23500	2015-05-22T16:00:00Z	0	100
23500	2015-05-22T18:00:00Z	0	100
23500	2015-05-22T20:00:00Z	0	100
23500	2015-05-22T22:00:00Z	0	100
23500	2015-05-23T00:00:00Z	0	100
23500	2015-05-23T02:00:00Z	0	100
23500	2015-05-23T04:00:00Z	0	100
23500	2015-05-23T06:00:00Z	0	100
23500	2015-05-23T08:00:00Z	0	100
23500	2015-05-23T10:00:00Z	0	100
23500	2015-05-23T12:00:00Z	0.003195	100
23500	2015-05-23T14:00:00Z	0	100
23500	2015-05-23T16:00:00Z	0	100
23500	2015-05-23T18:00:00Z	0.01125	100
23500	2015-05-23T20:00:00Z	0	100
23500	2015-05-23T22:00:00Z	0	100
23500	2015-05-24T00:00:00Z	0	100
23500	2015-05-24T02:00:00Z	0	100
23500	2015-05-24T04:00:00Z	0.00139	100
23500	2015-05-24T06:00:00Z	0	100
23500	2015-05-24T08:00:00Z	0.00722	100
23500	2015-05-24T10:00:00Z	0	100
23500	2015-05-24T12:00:00Z	0	100
23500	2015-05-24T14:00:00Z	0	100
23500	2015-05-24T16:00:00Z	0.010835	100
23500	2015-05-24T18:00:00Z	0	100
23500	2015-05-24T20:00:00Z	0	100
23500	2015-05-24T22:00:00Z	0	100
23500	2015-05-25T00:00:00Z	0	100
23500	2015-05-25T02:00:00Z	0	100
23500	2015-05-25T04:00:00Z	0	100
23500	2015-05-25T06:00:00Z	0	100
23500	2015-05-25T08:00:00Z	0.011665	100
23500	2015-05-25T10:00:00Z	0.059445	100
23500	2015-05-25T12:00:00Z	0	100
23500	2015-05-25T14:00:00Z	0	100
23500	2015-05-25T16:00:00Z	0.030835	100
23500	2015-05-25T18:00:00Z	0	100
23500	2015-05-25T20:00:00Z	0.12514	100
23500	2015-05-25T22:00:00Z	0.02764	100
23500	2015-05-26T00:00:00Z	0	100
23500	2015-05-26T02:00:00Z	0.060275	100
23500	2015-05-26T04:00:00Z	0.051945	100
23500	2015-05-26T06:00:00Z	0	100
23500	2015-05-26T08:00:00Z	0.02514	100
23500	2015-05-26T10:00:00Z	0	100
23500	2015-05-26T12:00:00Z	0.027635	100
23500	2015-05-26T14:00:00Z	0	100
23500	2015-05-26T16:00:00Z	0	100
23500	2015-05-26T18:00:00Z	0	100
23500	2015-05-26T20:00:00Z	0	100
23500	2015-05-26T22:00:00Z	0.008335	100
23500	2015-05-27T00:00:00Z	0.00875	100
23500	2015-05-27T02:00:00Z	0	100
23500	2015-05-27T04:00:00Z	0.025555	100
23500	2015-05-27T06:00:00Z	0.03028	100
23500	2015-05-27T08:00:00Z	0	100
23500	2015-05-27T10:00:00Z	0	100
23500	2015-05-27T12:00:00Z	0.02625	100
23500	2015-05-27T14:00:00Z	0.003335	100
23500	2015-05-27T16:00:00Z	0	100
23500	2015-05-27T18:00:00Z	0.031525	100
23500	2015-05-27T20:00:00Z	0	100
23500	2015-05-27T22:00:00Z	0	100
23500	2015-05-28T00:00:00Z	0	100
23500	2015-05-28T02:00:00Z	0	100
23500	2015-05-28T04:00:00Z	0	100
23500	2015-05-28T06:00:00Z	0	100
23500	2015-05-28T08:00:00Z	0	100
23500	2015-05-28T10:00:00Z	0	100
23500	2015-05-28T12:00:00Z	0	100
23500	2015-05-28T14:00:00Z	0.02486	100
23500	2015-05-28T16:00:00Z	0	100
23500	2015-05-28T18:00:00Z	0.025835	100
23500	2015-05-28T20:00:00Z	0	100
23500	2015-05-28T22:00:00Z	0	100
23500	2015-05-29T00:00:00Z	0	100
23500	2015-05-29T02:00:00Z	0	100
23500	2015-05-29T04:00:00Z	0	100
23500	2015-05-29T06:00:00Z	0.060835	100
23500	2015-05-29T08:00:00Z	0	100
23500	2015-05-29T10:00:00Z	0.001805	100
23500	2015-05-29T12:00:00Z	0	100
23500	2015-05-29T14:00:00Z	0	100
23500	2015-05-29T16:00:00Z	0	100
23500	2015-05-29T18:00:00Z	0	100
23500	2015-05-29T20:00:00Z	0	100
23500	2015-05-29T22:00:00Z	0	100
23500	2015-05-30T00:00:00Z	0	99
23500	2015-05-30T02:00:00Z	0	99
23500	2015-05-30T04:00:00Z	0	99
23500	2015-05-30T06:00:00Z	0	99
23500	2015-05-30T08:00:00Z	0	99
23500	2015-05-30T10:00:00Z	0	99
23500	2015-05-30T12:00:00Z	0	99
23500	2015-05-30T14:00:00Z	0.01278	99
23500	2015-05-30T16:00:00Z	0	99
23500	2015-05-30T18:00:00Z	0.004305	99
