kepoi_name,disposition,pdisposition,orb_period,impact,duration,depth,prad,teq,insol,steff,slogg,srad,right_ascension,declination
K04226.01,CANDIDATE,CANDIDATE,49.564693,0.685,8.54,113.5,1.63,588.0,28.19,5907.0,4.212,1.442,300.56241,46.037819
K04227.01,FALSE POSITIVE,FALSE POSITIVE,4.29258258,0.339,3.069,369.6,1.87,1161.0,428.77,6137.0,4.487,0.963,289.91635,43.507671
K04229.01,FALSE POSITIVE,FALSE POSITIVE,14.5893928,,15.54,,,,102.46,,,,294.74987999999996,49.663441
K04230.01,CONFIRMED,CANDIDATE,5.49548533,0.202,2.461,85.8,1.3,1293.0,661.04,6157.0,4.159,1.392,281.89731,46.722664
K04298.01,CANDIDATE,CANDIDATE,2.89494709,0.191,3.254,45.8,1.16,1919.0,3204.25,7087.0,4.137,1.684,291.54343,38.048759000000004
K04299.01,FALSE POSITIVE,FALSE POSITIVE,0.980505042,1.206,1.4068,426.6,26.35,1904.0,3100.61,5794.0,4.372,1.059,296.34799,44.501961
K04300.01,CONFIRMED,CANDIDATE,3.58273837,0.143,1.523,360.5,1.64,1064.0,302.74,5448.0,4.5169999999999995,0.872,296.159,44.563109999999995
K04301.01,CONFIRMED,CANDIDATE,15.604841,0.715,4.543,73.4,1.57,1013.0,248.62,6254.0,4.019,1.706,298.20261,44.925831
K04365.03,FALSE POSITIVE,FALSE POSITIVE,75.681309,0.6194,11.62,107.7,1.64,560.0,23.25,6297.0,4.155,1.506,294.05481000000003,39.845249
K04431.01,CANDIDATE,CANDIDATE,19.5650801,0.025,4.242,61.7,0.97,791.0,92.77,6180.0,4.294,1.235,283.72427000000005,46.879112
K04433.01,FALSE POSITIVE,FALSE POSITIVE,2.17823752,0.037,2.259,44.0,0.64,1473.0,1114.8,6052.0,4.422,0.969,288.19992,46.149421999999994
K04434.01,FALSE POSITIVE,FALSE POSITIVE,1.404674486,0.8171,5.056,155.5,0.86,1126.0,379.5,4716.0,4.65,0.609,291.97629,37.668652
K04231.01,FALSE POSITIVE,FALSE POSITIVE,24.9097436,0.5729,3.856,150.2,2.24,912.0,163.58,6596.0,4.037,1.757,297.16177000000005,41.775822
K02442.02,CONFIRMED,CANDIDATE,12.3101351,0.783,3.797,263.7,1.51,651.0,42.42,5009.0,4.4910000000000005,0.84,289.85889,48.693851
K04232.01,CONFIRMED,CANDIDATE,2.61576515,0.25,2.777,120.4,1.06,1379.0,851.6,6088.0,4.446000000000001,0.958,292.98834,49.484970000000004
K04234.01,CONFIRMED,CANDIDATE,6.94245216,0.485,3.491,160.8,1.34,1003.0,239.39,6108.0,4.466,1.03,292.15866,49.63776
K04302.01,CANDIDATE,CANDIDATE,5.53312006,0.299,3.486,53.1,1.05,1303.0,680.77,6170.0,4.15,1.425,293.68127000000004,41.611969
