p_mass,p_radius,p_period,p_semi_major_axis,p_eccentricity,p_angular_distance,p_impact_parameter,s_ra,s_dec,s_mag,s_distance,s_metallicity,s_mass,s_radius,s_temperature,s_log_g,p_hill_sphere,p_distance,p_periastron,p_apastron,p_distance_eff,p_flux,p_temp_equil,p_type,s_radius_est,s_ra_h,s_ra_t,s_dec_t,s_luminosity,s_snow_line,s_abio_zone,s_tidal_lock,p_habzone_opt,p_habzone_con,p_type_temp,p_habitable,p_esi,p_radius_est,p_mass_est,p_semi_major_axis_est
352.78907999999996,,137.48,0.539,0.26,1.25,,240.09557,15.54693,9.046,431.61,0.28,1.1,14.7,4796.0,2.8,0.027309464,0.5572182,0.39886,0.67914,0.54365898,365.14162999999996,1099.2378,Jovian,14.7,16.006372,16 00 22.9388,+15 32 48.9480,102.43303,27.326484999999998,0.38754905,0.5119554,0,0,Hot,0,0.068451851,13.703559,352.78907999999996,0.539
17668.058999999997,,379.63,1.05,0.15,0.628,,154.18691,19.891409,9.75,1670.85,-0.79,10.83,71.02,4259.0,1.77,0.10509456,1.0618125,0.8925,1.2075,1.0529753000000002,1364.0917,1541.7216,Jovian,71.02,10.279128,10 16 44.8603,+19 53 29.0724,1486.8958,104.11278,0.33017176,1.0206902,0,0,Hot,0,0.077113291,11.535801,17668.058999999997,1.05
3963.3152,,621.99,2.01,0.18,1.2,,154.18691,19.891409,9.75,1670.85,-0.79,10.83,71.02,4259.0,1.77,0.11792481,2.0425619999999998,1.6482,2.3718,2.0182285,374.14547999999996,1113.6017,Jovian,71.02,10.279128,10 16 44.8603,+19 53 29.0724,1486.8958,104.11278,0.33017176,1.0206902,0,0,Hot,0,0.074902725,12.319965,3963.3152,2.01
1334.8776,,578.2,1.3,0.21,0.939,,25.920324,21.005314000000002,9.36,1383.85,-0.46,0.8,17.3,4296.0,1.99,0.12184456,1.328665,1.027,1.573,1.3072723,55.277069,688.84477,Jovian,17.3,1.7280217,01 43 40.8781,+21 00 19.1304,91.335149,25.803745000000003,0.14762734,0.42826685,0,0,Hot,0,0.087983596,12.924228999999999,1334.8776,1.3
22.24796,2.5783,41.6855,,0.0,,,53.650967,20.599232,11.038,180.39,-0.15,1.67,1.08,5766.0,4.5,0.006617818399999999,0.27908623,0.27908623,0.27908623,0.27908624,14.830572,499.95899000000003,Neptunian,1.08,3.5767312999999996,03 34 36.2328,+20 35 57.2352,1.1551402,2.9018912,2.357775,0.54733928,0,0,Hot,0,0.30796205,2.5783,22.24796,0.27908623
289.22348,,392.6,1.0,0.2,1.12,,40.710224,49.58696,9.14,892.17,-0.2,0.74,11.0,4414.0,2.24,0.058507175999999994,1.02,0.8,1.2,1.005067,42.001782,643.64774,Jovian,11.0,2.7140151,02 42 50.4543,+49 35 13.0560,41.153174,17.3207,0.17616621,0.41728076,0,0,Hot,0,0.089639787,13.823873999999998,289.22348,1.0
540.3076,,733.0,1.7,0.76,2.5,,40.742569,48.930061,8.699,678.94,-0.13,1.09,10.33,4534.0,2.48,0.03229859,2.19096,0.408,2.992,1.855702,21.51075,471.51405,Jovian,10.33,2.7161714,02 42 58.2171,+48 55 48.2196,40.403162,17.16214,0.24633249,0.47478096,0,0,Hot,0,0.11328601,13.448934,540.3076,1.7
508.5248,,2590.0,4.2,0.35,9.38,,45.640529,49.730011,9.38,447.59,-0.19,1.52,7.6,4943.0,2.85,0.18957048,4.45725,2.73,5.67,4.2670580000000005,1.869632,290.77041,Jovian,7.6,3.0427021,03 02 33.7275,+49 43 48.0396,30.894294,15.007311999999999,0.55567772,0.47392397,0,0,Hot,0,0.35395377,13.484857,508.5248,4.2
8.5813561,,3.8728,0.0428,0.0,2.11,,88.251183,-5.9948440000000005,9.7,20.28,-0.14,0.7,,4324.0,4.74,0.00098714645,0.0428,0.0428,0.0428,0.042800001,59.571932,707.79148,Superterran,0.59026756,5.8834125,05 53 00.2850,-05 59 41.4384,0.10912625,0.8919251,0.1481588,0.40659899,0,0,Hot,0,0.23577592,2.8664188,8.5813561,0.0428
54.03076,,125.94,0.435,0.31,21.4,,88.251183,-5.9948440000000005,9.7,20.28,-0.14,0.7,,4324.0,4.74,0.01278315,0.45590175,0.30015,0.56985,0.44039809,0.6065834,220.65028999999998,Jovian,0.59026756,5.8834125,05 53 00.2850,-05 59 41.4384,0.10912625,0.8919251,0.1481588,0.40659899,1,1,Warm,0,0.41593589,8.47229,54.03076,0.435
12.71312,,5.6,0.06,0.15,1.45,,150.19884,-9.516680000000001,9.88,41.38,-0.06,0.5,0.71,4816.0,4.43,0.0015000857999999998,0.060675,0.051,0.069,0.060170015,68.263786,729.1933,Neptunian,0.71,10.013256,10 00 47.7228,-09 31 00.0480,0.24296922,1.3308815,0.30839557,0.366163,0,0,Hot,0,0.20503107,3.6130979,12.71312,0.06
104.88323999999999,,237.6,0.68,0.19,16.4,,150.19884,-9.516680000000001,9.88,41.38,-0.06,0.5,0.71,4816.0,4.43,0.032735916000000004,0.692274,0.5508,0.8092,0.68310553,0.53520165,216.41572999999997,Jovian,0.71,10.013256,10 00 47.7228,-09 31 00.0480,0.24296922,1.3308815,0.30839557,0.366163,1,1,Warm,0,0.36057653,12.521925,104.88323999999999,0.68
187.51852,,3.48777,0.04,0.02,0.473,,164.62,-10.770375999999999,10.08,84.61,0.38,1.47,0.91,5393.0,4.69,0.0019738473,0.040008,0.0392,0.0408,0.040002001,392.33767,1133.7762,Jovian,0.91,10.974667,10 58 28.8028,-10 46 13.3536,0.62761471,2.1389978,1.1905126,0.52455404,0,0,Hot,0,0.06663348,14.089972,187.51852,0.04
