P. Name,P. Zone Class,P. Mass Class,P. Composition Class,P. Atmosphere Class,P. Habitable Class,P. Mass (EU),P. Radius (EU),P. Density (EU),P. Gravity (EU),P. SFlux Mean (EU),P. Teq Mean (K),P. Mag,P. Period (days),P. Sem Major Axis (AU),P. Eccentricity,S. Mass (SU),S. Radius (SU),S. Teff (K),S. RA (hrs),S. DEC (deg),S. No. Planets,S. No. Planets HZ,P. HZD,P. HZC,P. HZA,P. HZI,P. ESI,P. Habitable,P. Hab Moon,P. Confirmed,P. Disc. Method,P. Disc. Year
Kepler-1373 b,Hot,Terran,rocky-iron,no-atmosphere,non-habitable,1.4,1.15,0.91,1.05,4065.1940000000004,2034.3,-26.55,1.29,0.0248,0.0,1.22,1.33,6299.0,19.0501,39.2492,1,0,-2.47,-0.17,-1.26,0.26,0.29,0,0,1,Transit,2016.0
Kepler-1374 b,Hot,Superterran,rocky-iron,metals-rich,non-habitable,17.93,2.28,1.5,3.43,58.6909,705.2,-23.42,10.65,0.0897,0.0,0.85,0.81,5323.0,19.4233,45.1723,1,0,-2.2,-0.12,0.31,0.31,0.26,0,0,1,Transit,2016.0
Kepler-1375 b,Hot,Superterran,rocky-iron,metals-rich,non-habitable,5.96,1.74,1.14,1.98,2360.894,1775.9,-26.85,3.3,0.0493,0.0,1.47,1.78,6704.0,19.7529,43.4033,1,0,-2.48,-0.15,-0.88,0.28,0.27,0,0,1,Transit,2016.0
Kepler-1376 b,Hot,Terran,rocky-iron,no-atmosphere,non-habitable,1.03,1.05,0.88,0.93,247.4912,1010.5,-23.3,5.31,0.0591,0.0,0.98,0.97,5659.0,19.1306,42.5414,1,0,-2.34,-0.17,-1.13,0.28,0.3,0,0,1,Transit,2016.0
Kepler-1377 b,Hot,Terran,rocky-iron,no-atmosphere,non-habitable,1.86,1.25,0.94,1.18,1926.7,1687.9,-25.92,0.74,0.0152,0.0,0.86,0.82,5218.0,19.2797,46.6517,1,0,-2.39,-0.16,-1.16,0.27,0.29,0,0,1,Transit,2016.0
Kepler-1378 b,Hot,Superterran,rocky-iron,metals-rich,non-habitable,15.1,2.2,1.43,3.13,18.415210000000002,527.8,-22.07,11.95,0.0908,0.0,0.7,0.67,4407.0,19.8249,40.3664,1,0,-1.96,-0.13,0.48,0.33,0.31,0,0,1,Transit,2016.0
Kepler-1379 b,Hot,Terran,rocky-iron,no-atmosphere,non-habitable,2.1,1.3,0.96,1.25,1418.684,1563.6,-25.66,0.88,0.0169,0.0,0.83,0.79,5188.0,19.578,41.4102,1,0,-2.38,-0.16,-1.11,0.28,0.29,0,0,1,Transit,2016.0
Kepler-1380 b,Hot,Terran,rocky-iron,metals-rich,non-habitable,2.97,1.43,1.01,1.44,91.26588000000001,787.4,-22.88,10.31,0.0914,0.0,0.96,0.94,5570.0,19.2077,42.4404,1,0,-2.26,-0.16,-0.74,0.3,0.3,0,0,1,Transit,2016.0
Kepler-1381 b,Hot,Superterran,rocky-iron,metals-rich,non-habitable,16.81,2.25,1.47,3.32,31.11412,601.7,-22.69,25.38,0.1667,0.0,0.96,0.94,5747.0,19.1691,48.7278,1,0,-2.12,-0.12,0.42,0.32,0.28,0,0,1,Transit,2016.0
Kepler-1382 b,Hot,Superterran,rocky-iron,metals-rich,non-habitable,8.1,1.88,1.22,2.29,195.9697,953.2,-24.31,16.36,0.1397,0.0,1.36,1.72,6161.0,19.6918,39.048,1,0,-2.35,-0.14,-0.43,0.29,0.27,0,0,1,Transit,2016.0
Kepler-1383 b,Hot,Terran,rocky-iron,metals-rich,non-habitable,2.81,1.41,1.0,1.41,205.0361,964.1,-23.73,13.91,0.1222,0.0,1.26,1.44,6370.0,19.863,42.1919,1,0,-2.36,-0.16,-0.85,0.28,0.29,0,0,1,Transit,2016.0
Kepler-1384 b,Hot,Superterran,rocky-iron,metals-rich,non-habitable,9.09,1.94,1.25,2.42,23.217979999999997,559.2,-22.05,15.36,0.1113,0.0,0.78,0.74,4919.0,19.7477,39.527,1,0,-2.03,-0.14,0.04,0.33,0.31,0,0,1,Transit,2016.0
Kepler-1385 b,Hot,Terran,rocky-iron,no-atmosphere,non-habitable,0.51,0.85,0.83,0.71,932.2234,1407.7,-24.28,2.89,0.0416,0.0,1.15,1.29,5732.0,18.8421,46.4811,1,0,-2.41,-0.18,-1.33,0.27,0.29,0,0,1,Transit,2016.0
Kepler-1386 b,Hot,Terran,rocky-iron,metals-rich,non-habitable,1.81,1.24,0.94,1.17,208.2012,967.8,-23.47,6.74,0.0703,0.0,1.02,1.03,5733.0,18.7216,42.6361,1,0,-2.34,-0.16,-0.98,0.28,0.3,0,0,1,Transit,2016.0
Kepler-1387 b,Hot,Terran,rocky-iron,no-atmosphere,non-habitable,0.68,0.93,0.85,0.79,342.746,1096.2,-23.38,2.28,0.0317,0.0,0.82,0.77,5046.0,19.496,43.2094,1,0,-2.32,-0.18,-1.23,0.28,0.3,0,0,1,Transit,2016.0
Kepler-1388 b,Hot,Neptunian,gas,metals-rich,non-habitable,3.28,2.59,0.19,0.49,11.80509,472.2,-21.94,12.29,0.0893,0.0,0.63,0.61,4098.0,18.8891,47.1745,4,0,-1.84,2.42,-0.73,0.24,0.33,0,0,1,Transit,2016.0
Kepler-1388 c,Hot,Superterran,rocky-iron,metals-rich,non-habitable,17.18,2.26,1.48,3.36,34.17075,616.0,-22.81,5.54,0.0525,0.0,0.63,0.61,4098.0,18.8891,47.1745,4,0,-2.04,-0.12,0.42,0.32,0.28,0,0,1,Transit,2016.0
Kepler-1388 d,Hot,Neptunian,gas,metals-rich,non-habitable,4.51,2.86,0.19,0.55,5.791939,395.2,-21.38,20.96,0.1275,0.0,0.63,0.61,4098.0,18.8891,47.1745,4,0,-1.64,2.49,-0.51,0.25,0.4,0,0,1,Transit,2016.0
Kepler-1388 e,Hot,Superterran,rocky-iron,hydrogen-rich,non-habitable,24.64,2.45,1.67,4.09,2.65361,325.2,-20.2,37.63,0.1884,0.0,0.63,0.61,4098.0,18.8891,47.1745,4,0,-1.32,-0.11,1.67,0.32,0.56,0,0,1,Transit,2016.0
Kepler-1389 b,Hot,Superterran,rocky-iron,metals-rich,non-habitable,6.4,1.77,1.16,2.05,2.136926,308.0,-19.25,99.25,0.391,0.0,0.81,0.74,5078.0,19.0478,44.7584,1,0,-1.17,-0.14,0.37,0.45,0.68,0,0,1,Transit,2016.0
Kepler-1390 b,Hot,Terran,rocky-iron,no-atmosphere,non-habitable,1.49,1.18,0.92,1.08,206.838,966.2,-23.34,6.48,0.0676,0.0,0.98,0.98,5753.0,19.9108,48.2488,1,0,-2.34,-0.17,-1.03,0.28,0.3,0,0,1,Transit,2016.0
Kepler-1391 b,Hot,Superterran,rocky-iron,metals-rich,non-habitable,5.27,1.68,1.11,1.87,15.68625,507.0,-21.31,54.41,0.2837,0.0,1.03,1.1,5840.0,19.6554,46.6596,1,0,-1.98,-0.15,-0.21,0.33,0.35,0,0,1,Transit,2016.0
Kepler-1392 b,Hot,Superterran,rocky-iron,metals-rich,non-habitable,9.51,1.96,1.26,2.47,44.35926,657.5,-22.78,15.14,0.1148,0.0,0.88,0.85,5479.0,19.2511,46.3944,1,0,-2.17,-0.14,-0.07,0.32,0.29,0,0,1,Transit,2016.0
Kepler-1393 b,Hot,Subterran,rocky-iron,no-atmosphere,non-habitable,0.41,0.8,0.82,0.65,656.9222,1289.8,-23.75,2.44,0.0349,0.0,0.95,0.92,5697.0,18.964,40.1426,1,0,-2.39,-0.18,-1.34,0.27,0.29,0,0,1,Transit,2016.0
Kepler-1394 b,Hot,Terran,rocky-iron,no-atmosphere,non-habitable,2.65,1.39,0.99,1.38,3109.1259999999997,1902.4,-26.66,3.94,0.0575,0.0,1.64,2.55,6481.0,18.8969,45.0841,1,0,-2.48,-0.16,-1.12,0.27,0.28,0,0,1,Transit,2016.0
Kepler-1395 b,Hot,Subterran,rocky-iron,no-atmosphere,non-habitable,0.41,0.8,0.82,0.65,768.4608,1341.4,-23.92,3.78,0.0501,0.0,1.17,1.23,6138.0,19.4892,47.6642,1,0,-2.42,-0.18,-1.35,0.26,0.29,0,0,1,Transit,2016.0
Kepler-1396 b,Hot,Superterran,rocky-iron,metals-rich,non-habitable,11.88,2.07,1.34,2.77,103.9849,813.6,-23.83,18.22,0.1432,0.0,1.18,1.27,6195.0,19.6224,44.9183,1,0,-2.3,-0.13,-0.11,0.3,0.26,0,0,1,Transit,2016.0
Kepler-1397 b,Hot,Superterran,rocky-iron,metals-rich,non-habitable,5.68,1.71,1.13,1.93,21.30548,547.4,-21.69,47.45,0.2639,0.0,1.09,1.12,6026.0,19.9784,47.0758,1,0,-2.05,-0.15,-0.23,0.33,0.33,0,0,1,Transit,2016.0
Kepler-1398 b,Hot,Terran,rocky-iron,no-atmosphere,non-habitable,0.6,0.9,0.84,0.75,1079.4460000000001,1460.3,-24.55,2.79,0.0404,0.0,1.13,1.18,6126.0,19.6577,48.639,2,0,-2.43,-0.18,-1.31,0.27,0.29,0,0,1,Transit,2016.0
Kepler-1398 c,Hot,Terran,rocky-iron,no-atmosphere,non-habitable,0.96,1.03,0.88,0.9,637.5749,1280.2,-24.28,4.14,0.0525,0.0,1.13,1.18,6126.0,19.6577,48.639,2,0,-2.42,-0.17,-1.21,0.27,0.3,0,0,1,Transit,2016.0
Kepler-1399 b,Hot,Terran,rocky-iron,no-atmosphere,non-habitable,1.86,1.25,0.94,1.18,1234.193,1510.0,-25.43,1.64,0.0269,0.0,0.97,0.96,5735.0,19.5541,46.0417,1,0,-2.42,-0.16,-1.12,0.27,0.29,0,0,1,Transit,2016.0
Kepler-1400 b,Hot,Superterran,rocky-iron,metals-rich,non-habitable,4.65,1.62,1.09,1.76,55.27093000000001,694.7,-22.61,9.07,0.08,0.0,0.83,0.78,5044.0,19.0848,45.4408,1,0,-2.17,-0.15,-0.49,0.31,0.3,0,0,1,Transit,2016.0
Kepler-1401 b,Hot,Superterran,rocky-iron,metals-rich,non-habitable,5.27,1.68,1.11,1.87,136.844,871.4,-23.67,11.2,0.1002,0.0,1.07,1.1,5964.0,19.1644,40.7585,1,0,-2.32,-0.15,-0.57,0.3,0.28,0,0,1,Transit,2016.0
Kepler-1402 b,Hot,Subterran,rocky-iron,no-atmosphere,non-habitable,0.36,0.76,0.81,0.62,635.3729,1279.1,-23.62,2.03,0.0303,0.0,0.9,0.87,5416.0,19.4565,48.9681,1,0,-2.37,-0.18,-1.36,0.27,0.29,0,0,1,Transit,2016.0
Kepler-1403 b,Hot,Superterran,rocky-iron,metals-rich,non-habitable,13.55,2.14,1.38,2.96,433.3474,1162.4,-25.46,5.19,0.0608,0.0,1.11,1.15,6060.0,19.3912,38.9601,1,0,-2.4,-0.13,-0.3,0.29,0.25,0,0,1,Transit,2016.0
Kepler-1404 b,Hot,Superterran,rocky-iron,metals-rich,non-habitable,10.4,2.0,1.29,2.59,32.1956,606.9,-22.48,15.93,0.1169,0.0,0.84,0.8,5261.0,19.734,50.4984,1,0,-2.11,-0.13,0.06,0.32,0.29,0,0,1,Transit,2016.0
Kepler-1405 b,Hot,Neptunian,gas,metals-rich,non-habitable,12.3,3.95,0.2,0.79,37.24236,629.4,-24.12,28.23,0.1844,0.0,1.05,1.07,5925.0,19.7123,39.2561,1,0,-2.16,2.92,-0.37,0.21,0.21,0,0,1,Transit,2016.0
Kepler-1406 b,Hot,Terran,rocky-iron,no-atmosphere,non-habitable,1.18,1.1,0.9,0.98,130.1684,860.5,-22.69,11.63,0.1021,0.0,1.05,1.12,5892.0,19.4721,38.915,1,0,-2.31,-0.17,-1.05,0.28,0.3,0,0,1,Transit,2016.0
Kepler-1407 b,Hot,Superterran,rocky-iron,metals-rich,non-habitable,16.81,2.25,1.47,3.32,69.56746,735.8,-23.57,20.07,0.1492,0.0,1.1,1.15,6010.0,18.9295,41.4716,1,0,-2.25,-0.12,0.22,0.31,0.26,0,0,1,Transit,2016.0
Kepler-1408 b,Hot,Terran,rocky-iron,no-atmosphere,non-habitable,0.58,0.88,0.84,0.74,1261.0330000000001,1518.2,-24.7,3.0,0.0433,0.0,1.21,1.35,6170.0,18.8467,45.4258,1,0,-2.44,-0.18,-1.33,0.26,0.29,0,0,1,Transit,2016.0
Kepler-1409 b,Hot,Terran,rocky-iron,no-atmosphere,non-habitable,0.99,1.04,0.88,0.92,1678.3870000000002,1630.7,-25.36,0.76,0.0154,0.0,0.83,0.79,5160.0,19.339,51.2086,1,0,-2.38,-0.17,-1.26,0.27,0.29,0,0,1,Transit,2016.0
Kepler-1410 b,Warm,Superterran,rocky-iron,metals-rich,mesoplanet,6.56,1.78,1.16,2.07,1.344376,274.3,-18.76,60.87,0.2595,0.0,0.63,0.6,4092.0,19.3673,38.7435,1,1,-0.91,-0.14,0.51,0.49,0.78,1,0,1,Transit,2016.0
Kepler-1411 b,Hot,Neptunian,gas,metals-rich,non-habitable,4.34,2.82,0.19,0.55,5.555006,391.1,-21.31,86.12,0.3751,0.0,0.95,0.92,5664.0,19.0908,42.9639,1,0,-1.64,2.48,-0.52,0.25,0.4,0,0,1,Transit,2016.0
Kepler-1412 b,Hot,Subterran,rocky-iron,no-atmosphere,non-habitable,0.47,0.83,0.82,0.68,783.494,1347.9,-24.03,3.61,0.047,0.0,1.06,1.27,5880.0,19.4787,49.2025,1,0,-2.41,-0.18,-1.33,0.27,0.29,0,0,1,Transit,2016.0
Kepler-1413 b,Hot,Superterran,rocky-iron,metals-rich,non-habitable,7.04,1.81,1.18,2.14,39.43274,638.4,-22.48,13.18,0.103,0.0,0.84,0.8,5196.0,19.6228,46.4988,1,0,-2.14,-0.14,-0.22,0.32,0.3,0,0,1,Transit,2016.0
Kepler-1414 b,Hot,Terran,rocky-iron,metals-rich,non-habitable,1.75,1.23,0.94,1.15,171.9276,922.5,-23.24,3.52,0.042,0.0,0.8,0.75,4951.0,18.9952,42.4223,1,0,-2.27,-0.16,-0.97,0.29,0.3,0,0,1,Transit,2016.0
Kepler-1415 b,Hot,Terran,rocky-iron,no-atmosphere,non-habitable,2.04,1.29,0.96,1.23,2512.429,1803.7,-26.27,0.64,0.0139,0.0,0.89,0.84,5267.0,19.0105,47.8733,1,0,-2.4,-0.16,-1.16,0.27,0.29,0,0,1,Transit,2016.0
Kepler-1416 b,Hot,Terran,rocky-iron,no-atmosphere,non-habitable,0.58,0.88,0.84,0.74,2246.467,1754.0,-25.33,1.5,0.0263,0.0,1.09,1.15,6019.0,19.9109,43.8941,1,0,-2.45,-0.18,-1.36,0.26,0.29,0,0,1,Transit,2016.0
Kepler-1417 b,Hot,Terran,rocky-iron,no-atmosphere,non-habitable,0.86,1.0,0.87,0.86,50.34126,678.6,-21.44,20.35,0.1468,0.0,1.02,1.02,5839.0,19.3967,40.6052,1,0,-2.2,-0.17,-1.04,0.29,0.32,0,0,1,Transit,2016.0
Kepler-1418 b,Hot,Superterran,rocky-iron,metals-rich,non-habitable,5.02,1.66,1.1,1.83,11.80263,472.2,-20.97,22.48,0.1428,0.0,0.77,0.72,4770.0,18.8665,41.6786,1,0,-1.88,-0.15,-0.18,0.35,0.38,0,0,1,Transit,2016.0
Kepler-1419 b,Hot,Neptunian,gas,metals-rich,non-habitable,4.51,2.86,0.19,0.55,18.057879999999997,525.2,-22.62,42.52,0.2392,0.0,1.01,1.01,5796.0,19.4836,37.9714,1,0,-2.01,2.49,-0.67,0.23,0.28,0,0,1,Transit,2016.0
Kepler-1420 b,Hot,Terran,rocky-iron,metals-rich,non-habitable,1.98,1.28,0.95,1.21,95.68608,796.8,-22.68,6.7,0.0651,0.0,0.82,0.79,5187.0,19.7469,42.7778,1,0,-2.24,-0.16,-0.88,0.29,0.3,0,0,1,Transit,2016.0
Kepler-1421 b,Hot,Terran,rocky-iron,no-atmosphere,non-habitable,0.68,0.93,0.85,0.79,498.038,1203.5,-23.79,6.91,0.0765,0.0,1.25,1.42,6335.0,19.1054,48.5442,1,0,-2.41,-0.18,-1.25,0.27,0.3,0,0,1,Transit,2016.0
Kepler-1422 b,Hot,Superterran,rocky-iron,metals-rich,non-habitable,10.64,2.02,1.3,2.62,96.43951,798.4,-23.69,18.61,0.1439,0.0,1.15,1.23,6194.0,19.5927,48.3361,1,0,-2.29,-0.13,-0.16,0.3,0.27,0,0,1,Transit,2016.0
Kepler-1423 b,Hot,Terran,rocky-iron,metals-rich,non-habitable,1.07,1.06,0.89,0.94,13.292110000000001,486.5,-20.13,23.96,0.1503,0.0,0.79,0.75,4939.0,19.2163,41.1101,1,0,-1.91,-0.17,-0.85,0.32,0.39,0,0,1,Transit,2016.0
Kepler-1424 b,Hot,Terran,rocky-iron,metals-rich,non-habitable,1.4,1.15,0.91,1.05,33.57835,613.3,-21.32,29.61,0.1885,0.0,1.02,1.07,5838.0,19.3994,40.2293,1,0,-2.14,-0.17,-0.87,0.3,0.33,0,0,1,Transit,2016.0
Kepler-1425 b,Hot,Terran,rocky-iron,no-atmosphere,non-habitable,0.71,0.94,0.85,0.8,65.53260999999999,724.9,-21.6,14.45,0.1149,0.0,0.97,0.95,5718.0,19.6634,43.0124,1,0,-2.23,-0.18,-1.11,0.29,0.31,0,0,1,Transit,2016.0
Kepler-1426 b,Hot,Superterran,rocky-iron,metals-rich,non-habitable,3.99,1.56,1.06,1.65,80.46982,763.1,-22.93,14.26,0.1158,0.0,1.02,1.02,5831.0,19.5031,49.417,1,0,-2.26,-0.15,-0.61,0.3,0.29,0,0,1,Transit,2016.0
Kepler-1427 b,Hot,Terran,rocky-iron,no-atmosphere,non-habitable,1.18,1.1,0.9,0.98,2789.3190000000004,1851.5,-26.03,0.97,0.0192,0.0,1.01,1.01,5793.0,19.69,45.1145,1,0,-2.44,-0.17,-1.26,0.27,0.29,0,0,1,Transit,2016.0
Kepler-1428 b,Hot,Superterran,rocky-iron,metals-rich,non-habitable,4.77,1.64,1.09,1.78,228.7377,990.8,-24.17,10.68,0.103,0.0,1.28,1.36,6184.0,19.8428,49.595,1,0,-2.36,-0.15,-0.68,0.29,0.28,0,0,1,Transit,2016.0
Kepler-1429 b,Hot,Terran,rocky-iron,no-atmosphere,non-habitable,2.04,1.29,0.96,1.23,426.097,1157.5,-24.33,4.48,0.0541,0.0,1.05,1.07,5902.0,19.0244,49.0449,1,0,-2.39,-0.16,-1.01,0.28,0.29,0,0,1,Transit,2016.0
Kepler-1430 b,Hot,Terran,rocky-iron,no-atmosphere,non-habitable,1.49,1.18,0.92,1.08,230.3342,992.5,-23.46,2.46,0.0327,0.0,0.77,0.72,4796.0,19.3132,43.3721,1,0,-2.27,-0.17,-1.04,0.29,0.3,0,0,1,Transit,2016.0
Kepler-1431 b,Hot,Terran,rocky-iron,metals-rich,non-habitable,3.22,1.47,1.02,1.5,261.841,1024.8,-24.08,5.87,0.0643,0.0,1.03,1.03,5806.0,19.5106,49.8652,1,0,-2.36,-0.16,-0.83,0.29,0.29,0,0,1,Transit,2016.0
Kepler-1432 b,Hot,Superterran,rocky-iron,metals-rich,non-habitable,15.76,2.22,1.45,3.21,54.26327,691.5,-23.27,23.91,0.1671,0.0,1.09,1.13,6031.0,19.7016,49.8295,1,0,-2.22,-0.12,0.23,0.31,0.27,0,0,1,Transit,2016.0
Kepler-1433 b,Hot,Superterran,rocky-iron,metals-rich,non-habitable,3.99,1.56,1.06,1.65,632.9891,1277.9,-25.18,4.14,0.0527,0.0,1.14,1.19,6097.0,19.1576,49.4569,1,0,-2.41,-0.15,-0.86,0.28,0.28,0,0,1,Transit,2016.0
Kepler-1434 b,Hot,Terran,rocky-iron,no-atmosphere,non-habitable,1.23,1.11,0.9,1.0,731.9766,1325.2,-24.59,8.05,0.0894,0.0,1.47,2.04,6291.0,19.7026,51.203,1,0,-2.43,-0.17,-1.17,0.27,0.29,0,0,1,Transit,2016.0
Kepler-1435 b,Hot,Terran,rocky-iron,no-atmosphere,non-habitable,0.53,0.86,0.83,0.72,801.0089,1355.4,-24.14,4.45,0.0564,0.0,1.21,1.32,6356.0,19.4116,44.9211,1,0,-2.43,-0.18,-1.32,0.27,0.29,0,0,1,Transit,2016.0
Kepler-1436 b,Hot,Terran,rocky-iron,metals-rich,non-habitable,2.17,1.31,0.96,1.26,164.5491,912.5,-23.33,9.71,0.0908,0.0,1.06,1.09,5972.0,19.8474,46.768,1,0,-2.33,-0.16,-0.91,0.29,0.3,0,0,1,Transit,2016.0
Kepler-1437 b,Hot,Terran,rocky-iron,metals-rich,non-habitable,2.51,1.37,0.98,1.34,78.32958,757.9,-22.61,10.93,0.0941,0.0,0.93,0.9,5557.0,19.4577,49.3259,1,0,-2.24,-0.16,-0.78,0.3,0.3,0,0,1,Transit,2016.0
Kepler-1438 b,Hot,Terran,rocky-iron,no-atmosphere,non-habitable,0.71,0.94,0.85,0.8,671.367,1296.8,-24.14,2.32,0.0339,0.0,0.97,0.96,5530.0,19.286,40.6817,1,0,-2.38,-0.18,-1.26,0.27,0.29,0,0,1,Transit,2016.0
Kepler-1439 b,Hot,Terran,rocky-iron,metals-rich,non-habitable,3.14,1.46,1.02,1.48,7.357844,419.6,-20.17,8.07,0.0608,0.0,0.46,0.43,3578.0,19.0493,40.98,1,0,-1.69,-0.16,-0.34,0.37,0.45,0,0,1,Transit,2016.0
Kepler-1440 b,Hot,Terran,rocky-iron,metals-rich,non-habitable,1.86,1.25,0.94,1.18,16.947670000000002,516.9,-20.76,39.86,0.2268,0.0,0.98,0.96,5698.0,19.0231,48.3123,1,0,-2.0,-0.16,-0.69,0.32,0.37,0,0,1,Transit,2016.0
Kepler-1441 b,Hot,Terran,rocky-iron,metals-rich,non-habitable,2.17,1.31,0.96,1.26,19.78047,537.3,-21.02,39.44,0.2267,0.0,1.0,1.0,5802.0,19.5813,43.1246,1,0,-2.03,-0.16,-0.66,0.32,0.35,0,0,1,Transit,2016.0
Kepler-1442 b,Hot,Neptunian,gas,metals-rich,non-habitable,12.09,3.93,0.2,0.78,18.93802,531.5,-23.37,81.42,0.4052,0.0,1.34,1.44,6394.0,19.417,48.847,1,0,-2.03,2.91,-0.26,0.22,0.24,0,0,1,Transit,2016.0
Kepler-1443 b,Hot,Terran,rocky-iron,no-atmosphere,non-habitable,0.8,0.97,0.86,0.84,1622.3239999999998,1616.9,-25.18,2.42,0.0374,0.0,1.19,1.27,6289.0,18.8957,47.0669,1,0,-2.45,-0.17,-1.29,0.26,0.29,0,0,1,Transit,2016.0
Kepler-1444 b,Hot,Superterran,rocky-iron,metals-rich,non-habitable,14.46,2.17,1.41,3.06,26.81519,579.7,-22.45,33.42,0.205,0.0,1.03,1.05,5810.0,19.022,42.0404,1,0,-2.1,-0.13,0.34,0.32,0.29,0,0,1,Transit,2016.0
Kepler-1445 b,Hot,Terran,rocky-iron,no-atmosphere,non-habitable,0.77,0.96,0.86,0.83,210.6802,970.6,-22.93,10.6,0.0983,0.0,1.13,1.26,6150.0,18.6833,43.9151,1,0,-2.36,-0.17,-1.18,0.27,0.3,0,0,1,Transit,2016.0
Kepler-1446 b,Hot,Subterran,rocky-iron,no-atmosphere,non-habitable,0.45,0.82,0.82,0.67,1393.8929999999998,1556.7,-24.63,0.69,0.0142,0.0,0.81,0.75,4865.0,19.2949,46.7262,1,0,-2.35,-0.18,-1.37,0.27,0.29,0,0,1,Transit,2016.0
Kepler-1447 b,Hot,Neptunian,gas,metals-rich,non-habitable,4.74,2.9,0.19,0.56,10.628589999999999,460.0,-22.08,56.67,0.2858,0.0,0.97,0.95,5722.0,19.3096,50.7271,1,0,-1.87,2.51,-0.58,0.24,0.32,0,0,1,Transit,2016.0
Kepler-1448 b,Hot,Superterran,rocky-iron,metals-rich,non-habitable,4.54,1.61,1.08,1.74,82.37031999999999,767.5,-23.03,12.27,0.1023,0.0,0.95,0.93,5774.0,19.1912,50.5956,1,0,-2.26,-0.15,-0.56,0.3,0.29,0,0,1,Transit,2016.0
Kepler-1449 b,Hot,Superterran,rocky-iron,metals-rich,non-habitable,5.27,1.68,1.11,1.87,110.049,825.2,-23.43,13.23,0.1123,0.0,1.08,1.1,5979.0,19.2154,50.5679,1,0,-2.3,-0.15,-0.54,0.3,0.28,0,0,1,Transit,2016.0
Kepler-1450 b,Hot,Superterran,rocky-iron,metals-rich,non-habitable,5.68,1.71,1.13,1.93,2.75959,328.4,-19.46,54.51,0.2509,0.0,0.71,0.68,4524.0,19.6369,45.0814,1,0,-1.34,-0.15,0.21,0.42,0.62,0,0,1,Transit,2016.0
Kepler-1451 b,Hot,Neptunian,gas,metals-rich,non-habitable,7.42,3.35,0.2,0.66,21.90241,551.1,-23.18,35.62,0.2118,0.0,1.0,0.99,5782.0,19.5631,40.4099,1,0,-2.06,2.67,-0.5,0.23,0.25,0,0,1,Transit,2016.0
Kepler-1452 b,Hot,Neptunian,gas,metals-rich,non-habitable,3.77,2.7,0.19,0.52,72.93475,744.5,-24.02,42.91,0.2689,0.0,1.41,2.06,6101.0,19.4949,38.2663,1,0,-2.26,2.45,-0.89,0.22,0.24,0,0,1,Transit,2016.0
Kepler-1453 b,Hot,Neptunian,gas,metals-rich,non-habitable,3.62,2.67,0.19,0.51,12.77317,481.6,-22.09,47.16,0.2528,0.0,0.97,0.94,5665.0,19.075,47.9476,1,0,-1.92,2.44,-0.7,0.24,0.32,0,0,1,Transit,2016.0
Kepler-1454 b,Hot,Superterran,rocky-iron,metals-rich,non-habitable,8.1,1.88,1.22,2.29,9.648587,449.0,-21.03,47.03,0.2461,0.0,0.9,0.86,5448.0,18.9482,48.8318,1,0,-1.84,-0.14,0.16,0.35,0.39,0,0,1,Transit,2016.0
Kepler-1455 b,Hot,Superterran,rocky-iron,hydrogen-rich,non-habitable,14.15,2.16,1.4,3.03,1.771059,293.9,-19.48,49.28,0.2243,0.0,0.62,0.6,4075.0,19.6055,50.5028,1,0,-1.09,-0.13,1.16,0.39,0.67,0,0,1,Transit,2016.0
Kepler-1456 b,Hot,Terran,rocky-iron,metals-rich,non-habitable,1.35,1.14,0.91,1.04,8.15718,430.6,-19.75,18.14,0.1164,0.0,0.64,0.62,4231.0,19.1297,43.8228,1,0,-1.75,-0.17,-0.71,0.34,0.45,0,0,1,Transit,2016.0
Kepler-1457 b,Hot,Superterran,rocky-iron,metals-rich,non-habitable,10.17,1.99,1.28,2.56,14.824539999999999,499.9,-21.62,51.11,0.2704,0.0,1.01,1.01,5866.0,18.918,42.0272,1,0,-1.97,-0.13,0.22,0.34,0.34,0,0,1,Transit,2016.0
Kepler-1458 b,Hot,Neptunian,gas,metals-rich,non-habitable,4.02,2.76,0.19,0.53,12.4612,478.7,-22.14,47.99,0.2549,0.0,0.96,0.94,5653.0,18.8808,41.0381,1,0,-1.92,2.46,-0.66,0.24,0.31,0,0,1,Transit,2016.0
Kepler-1459 b,Hot,Terran,rocky-iron,metals-rich,non-habitable,2.44,1.36,0.98,1.33,3.291723,343.2,-19.14,62.87,0.2848,0.0,0.78,0.74,4828.0,18.8282,46.014,1,0,-1.42,-0.16,-0.33,0.41,0.61,0,0,1,Transit,2016.0
Kepler-1460 b,Hot,Superterran,rocky-iron,metals-rich,non-habitable,9.51,1.96,1.26,2.47,5.482474,389.8,-20.5,29.96,0.1676,0.0,0.7,0.67,4422.0,19.0372,44.0108,1,0,-1.63,-0.14,0.43,0.37,0.46,0,0,1,Transit,2016.0
Kepler-1461 b,Hot,Superterran,rocky-iron,metals-rich,non-habitable,10.88,2.03,1.31,2.65,9.711573,449.7,-21.2,29.35,0.1721,0.0,0.79,0.74,4919.0,19.0554,43.1984,1,0,-1.83,-0.13,0.38,0.35,0.38,0,0,1,Transit,2016.0
