P. Name,P. Zone Class,P. Mass Class,P. Composition Class,P. Atmosphere Class,P. Habitable Class,P. Mass (EU),P. Radius (EU),P. Density (EU),P. Gravity (EU),P. SFlux Mean (EU),P. Teq Mean (K),P. Mag,P. Period (days),P. Sem Major Axis (AU),P. Eccentricity,S. Mass (SU),S. Radius (SU),S. Teff (K),S. RA (hrs),S. DEC (deg),S. No. Planets,S. No. Planets HZ,P. HZD,P. HZC,P. HZA,P. HZI,P. ESI,P. Habitable,P. Hab Moon,P. Confirmed,P. Disc. Method,P. Disc. Year
HD 142022 A b,Cold,Jovian,gas,hydrogen-rich,non-habitable,9347.44,10.34,8.46,87.49,0.04805767,112.3,-19.14,1928.0,3.03,0.53,0.99,0.7,5382.0,16.1708,-84.2314,1,0,7.24,18.8,50.41,0.02,0.09,0,0,1,Radial Velocity,2005.0
HD 142245 b,Hot,Jovian,gas,hydrogen-rich,non-habitable,604.09,11.21,0.43,4.81,1.889574,292.8,-23.2,1299.0,2.77,0.32,1.69,5.2,4878.0,15.8822,15.4308,1,0,-1.05,7.35,6.43,0.09,0.4,0,0,1,Radial Velocity,2011.0
HD 142415 b,Warm,Jovian,gas,hydrogen-rich,non-habitable,515.06,11.02,0.38,4.24,1.1548379999999998,250.5,-22.72,386.3,1.05,0.5,1.09,1.03,5834.0,15.9611,-60.2,1,1,-0.43,7.12,6.26,0.1,0.45,0,0,1,Radial Velocity,2003.0
HD 143105 b,Hot,Jovian,gas,metals-rich,non-habitable,384.71,10.6,0.32,3.43,2647.562,1825.8,-30.92,2.2,0.0379,0.07,1.51,1.6,6380.0,15.8936,68.72,1,0,-2.47,6.72,0.99,0.12,0.11,0,0,1,Radial Velocity,2016.0
HD 143361 b,Cold,Jovian,gas,hydrogen-rich,non-habitable,991.97,11.58,0.64,7.4,0.1620777,161.0,-20.54,1057.0,2.0,0.15,0.95,0.76,5940.0,16.0306,-44.4344,1,0,2.52,8.1,12.32,0.06,0.23,0,0,1,Radial Velocity,2008.0
HD 143761 b,Hot,Jovian,gas,hydrogen-rich,non-habitable,332.25,10.35,0.3,3.1,34.62458,617.8,-26.14,39.85,0.2196,0.04,0.89,1.36,5627.0,16.0175,33.3036,2,0,-2.14,6.52,2.68,0.12,0.15,0,0,1,Radial Velocity,2016.0
HD 143761 c,Hot,Neptunian,gas,metals-rich,non-habitable,25.12,5.02,0.2,1.0,9.828078999999999,450.9,-23.19,102.54,0.4123,0.05,0.89,1.36,5627.0,16.0175,33.3036,2,0,-1.85,3.43,0.31,0.2,0.33,0,0,1,Radial Velocity,2016.0
HD 145377 b,Hot,Jovian,gas,hydrogen-rich,non-habitable,1831.33,11.68,1.15,13.42,8.084324,421.8,-24.87,103.95,0.45,0.31,1.12,1.14,6046.0,16.1933,-27.0781,1,0,-1.75,9.4,9.88,0.07,0.18,0,0,1,Radial Velocity,2008.0
HD 145457 b,Hot,Jovian,gas,hydrogen-rich,non-habitable,922.03,11.54,0.6,6.92,78.45251,756.4,-27.28,176.3,0.76,0.11,1.9,9.9,4757.0,16.1678,26.7428,1,0,-2.19,7.98,4.54,0.1,0.1,0,0,1,Radial Velocity,2010.0
HD 145934 b,Warm,Jovian,gas,hydrogen-rich,non-habitable,724.9,11.38,0.49,5.6,0.4418358,207.6,-21.59,2730.0,4.6,0.05,1.75,5.38,5150.0,16.2194,13.2394,1,1,0.33,7.61,8.97,0.08,0.37,0,0,1,Radial Velocity,2015.0
HD 147018 b,Hot,Jovian,gas,hydrogen-rich,non-habitable,674.03,11.32,0.47,5.26,15.272089999999999,481.2,-25.58,44.24,0.2388,0.47,0.93,0.99,5441.0,16.3833,-61.6889,2,0,-1.92,7.5,4.82,0.1,0.16,0,0,1,Radial Velocity,2009.0
HD 147018 c,Cold,Jovian,gas,hydrogen-rich,non-habitable,2085.69,11.68,1.31,15.29,0.21013449999999997,171.9,-20.84,1008.0,1.922,0.13,0.93,0.99,5441.0,16.3833,-61.6889,2,0,1.71,9.78,17.92,0.05,0.24,0,0,1,Radial Velocity,2009.0
