pl_name,pl_discmethod,pl_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_bmassj,pl_radj,ra_str,ra,dec_str,dec,st_dist,st_teff,st_mass,st_rad
BD-08 2823 b,Radial Velocity,2,5.60000000,0.060000,0.150000,0.04000,,10h00m47.72s,150.198837,-09d31m00.0s,-9.516680,41.38,4816.00,0.50,0.71
BD-08 2823 c,Radial Velocity,2,237.60000000,0.680000,0.190000,0.33000,,10h00m47.72s,150.198837,-09d31m00.0s,-9.516680,41.38,4816.00,0.50,0.71
BD-10 3166 b,Radial Velocity,1,3.48777000,0.040000,0.020000,0.59000,,10h58m28.80s,164.620003,-10d46m13.4s,-10.770376,80.00,5393.00,1.47,0.91
BD-11 4672 b,Radial Velocity,1,1667.00000000,2.280000,0.050000,0.53000,,18h33m28.84s,278.370148,-11d38m09.7s,-11.636039,27.30,4475.00,0.57,0.52
BD-13 2130 b,Radial Velocity,1,714.29999000,1.660000,0.210000,9.78000,,07h37m09.23s,114.288458,-13d54m23.9s,-13.906639,766.00,4545.00,2.12,19.17
BD-17 63 b,Radial Velocity,1,655.59998000,1.340000,0.540000,2.85000,,00h28m34.31s,7.142942,-16d13m34.8s,-16.226345,34.49,4665.00,0.31,0.74
CFBDSIR J145829+101343 b,Imaging,1,10037.50000000,2.600000,,10.50000,,14h58m29.00s,224.620833,+10d13m43.0s,10.228611,23.10,580.50,0.02,
CHXR 73 b,Imaging,1,,210.000000,,12.56900,,11h06m28.77s,166.619893,-77d37m33.2s,-77.625877,191.05,,0.35,
CT Cha b,Imaging,1,,440.000000,,17.00000,2.200,11h04m09.09s,166.037877,-76d27m19.4s,-76.455383,165.00,,,
CoRoT-1 b,Transit,1,1.50895570,,0.000000,1.03000,1.490,06h48m19.17s,102.079885,-03d06m07.7s,-3.102147,805.31,5950.00,0.95,1.11
CoRoT-10 b,Transit,1,13.24060000,0.105500,0.530000,2.75000,0.970,19h24m15.29s,291.063708,+00d44m46.1s,0.746143,345.00,5075.00,0.89,0.79
CoRoT-11 b,Transit,1,2.99433000,0.043600,0.000000,2.33000,1.430,18h42m44.94s,280.687263,+05d56m15.7s,5.937688,560.00,6440.00,1.27,1.37
CoRoT-12 b,Transit,1,2.82804200,0.040160,0.070000,0.91700,1.440,06h43m03.76s,100.765677,-01d17m47.2s,-1.296439,1150.00,5675.00,1.08,1.12
CoRoT-13 b,Transit,1,4.03519000,0.051000,0.000000,1.30800,0.885,06h50m53.07s,102.721137,-05d05m11.2s,-5.086445,1060.00,5945.00,1.09,1.01
CoRoT-14 b,Transit,1,1.51214000,0.027000,0.000000,7.60000,1.090,06h53m41.81s,103.424211,-05d32m09.7s,-5.536037,1340.00,6035.00,1.13,1.21
CoRoT-16 b,Transit,1,5.35227000,0.061800,0.330000,0.53500,1.170,18h34m05.93s,278.524691,-06d00m09.3s,-6.002595,840.00,5650.00,1.10,1.19
CoRoT-17 b,Transit,1,3.76810000,0.046100,0.000000,2.43000,1.020,18h34m47.82s,278.699254,-06d36m44.0s,-6.612234,920.00,5740.00,1.04,1.59
CoRoT-18 b,Transit,1,1.90006930,0.029500,0.080000,3.47000,1.310,06h32m41.38s,98.172410,-00d01m53.7s,-0.031586,870.00,5440.00,0.95,1.00
