kepoi_name,disposition,pdisposition,orb_period,impact,duration,depth,prad,teq,insol,steff,slogg,srad,right_ascension,declination
K00989.03,CANDIDATE,CANDIDATE,16.15811112,1.8572,6.049,2319.8,86.13,660.0,44.83,5619.0,4.5360000000000005,0.874,296.38229,48.045311
K00990.01,FALSE POSITIVE,FALSE POSITIVE,67.69213907,0.5581,51.349,25457.0,175.98,1173.0,448.21,5355.0,2.7539999999999996,10.703,293.47362999999996,46.970402
K00991.01,CONFIRMED,CANDIDATE,12.06222962,0.392,2.0584,300.2,1.62,750.0,74.8,5547.0,4.4510000000000005,0.933,296.49612,47.182860999999995
K00992.01,CONFIRMED,CANDIDATE,9.93146307,0.037,5.678,398.6,2.41,931.0,177.83,5782.0,4.28,1.22,291.49942000000004,37.05928
K00993.01,CONFIRMED,CANDIDATE,21.85362905,0.676,3.439,355.6,1.75,618.0,34.57,5830.0,4.54,0.876,290.72867,37.252651
K01060.04,CONFIRMED,CANDIDATE,8.19345065,0.815,5.234,115.4,1.74,1144.0,405.75,6021.0,4.093,1.458,293.08463,41.135441
K00140.01,FALSE POSITIVE,FALSE POSITIVE,19.97867,0.923,10.168,944.3,6.85,1351.0,788.02,9651.0,4.229,1.895,299.15353,40.286961
K01061.01,CONFIRMED,CANDIDATE,41.8059544,0.029,6.057,434.4,2.02,533.0,19.02,5907.0,4.445,0.973,290.1315,41.3815
K01062.01,FALSE POSITIVE,FALSE POSITIVE,15.45158184,0.636,2.406,85.3,2.02,1285.0,643.83,7839.0,4.08,2.069,297.98123,41.44487
K01063.01,FALSE POSITIVE,FALSE POSITIVE,89.69816853299999,0.684,5.5418,273110.0,102.08,554.0,22.33,6214.0,4.021,1.583,299.0209,44.17276
K01064.01,CANDIDATE,CANDIDATE,1.187352427,1.222,4.999,20703.0,67.35,2251.0,6067.3,6424.0,4.186,1.489,285.06335,44.167885
K00015.01,FALSE POSITIVE,FALSE POSITIVE,3.0124765819999997,1.261,3.1424,1138.5,65.25,2371.0,7471.65,8601.0,4.137,2.031,294.1434,39.089779
K00148.01,CONFIRMED,CANDIDATE,4.77800306,0.02,2.7361,473.0,1.85,932.0,177.79,5192.0,4.489,0.873,299.13922,40.949020000000004
K01125.01,FALSE POSITIVE,FALSE POSITIVE,7.8148392310000006,0.945,3.0122,2010.3,5.33,903.0,156.74,5887.0,4.499,0.931,294.02725,41.675968
