pl_name,pl_discmethod,pl_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_bmassj,pl_radj,ra,dec,st_dist,st_teff,st_mass,st_rad
CoRoTID 223977153 b,Transit,1,6.71837,0.071,,0.15,0.57,100.195183,9.257431,586.2,5970.0,1.08,0.79
DENIS-P J082303.1-491201 b,Astrometry,1,246.36,0.36,0.345,28.5,,125.76305,-49.200359000000006,20.77,,0.07,
DH Tau b,Imaging,1,,330.0,,11.0,,67.423158,26.54952,140.0,,0.33,0.27
DP Leo b,Eclipse Timing Variations,1,10220.0,8.19,0.39,6.05,,169.316667,17.961417,,,0.69,
EPIC 211822797 b,Transit,1,21.169861,0.131,0.06,,0.177,130.41037,17.640005,187.19,4148.21,0.66,0.57
EPIC 211945201 b,Transit,1,19.49221,0.1493,,,0.514,136.573975,19.402252,182.69,6069.0,1.17,1.39
EPIC 220674823 b,Transit,2,0.571331,0.0134,,,0.162,13.07978,10.794699000000001,246.1,5617.0,0.97,0.98
EPIC 220674823 c,Transit,2,13.339079,0.1091,,,0.244,13.07978,10.794699000000001,246.1,5617.0,0.97,0.98
EPIC 246851721 b,Transit,1,6.180235,0.07229,,3.0,1.051,78.91974599999999,16.278742,336.7,6202.0,1.32,1.59
FU Tau b,Imaging,1,,800.0,,16.0,,65.89890799999999,25.049898000000002,140.0,2838.0,0.05,
Fomalhaut b,Imaging,1,555530.0,160.0,0.87,,,344.412689,-29.622235999999997,7.7,,1.92,
GJ 1132 b,Transit,2,1.628931,0.0153,0.22,0.005220000000000001,,153.71573700000002,-47.156727000000004,12.04,3270.0,0.18,0.21
GJ 1132 c,Transit,2,8.929,0.0476,0.27,0.00831,,153.71573700000002,-47.156727000000004,12.04,3270.0,0.18,0.21
GJ 1148 b,Radial Velocity,2,41.38,0.166,0.38,0.30425,,175.435974,42.751971999999995,11.02,3264.0,0.35,0.4
GJ 1148 c,Radial Velocity,2,532.58,0.912,0.342,0.21414,,175.435974,42.751971999999995,11.02,3264.0,0.35,0.4
GJ 1214 b,Transit,1,1.58040456,0.01411,,0.0197,0.254,258.828837,4.96392,12.95,3026.0,0.15,0.22
GJ 1265 b,Radial Velocity,1,3.6511,0.026,0.04,0.023280000000000002,,333.428676,-17.685771,10.26,3236.0,0.18,0.19
GJ 143 b,Transit,1,35.589,0.1932,0.325,0.09637000000000001,,51.746769,-63.4991,16.33,,0.76,0.73
GJ 163 b,Radial Velocity,3,8.63182,0.0607,0.073,0.03335,,62.315273,-53.373699,15.14,3500.0,0.4,
GJ 163 c,Radial Velocity,3,25.63058,0.1254,0.099,0.0214,,62.315273,-53.373699,15.14,3500.0,0.4,
GJ 163 d,Radial Velocity,3,603.95116,1.0304,0.373,0.0925,,62.315273,-53.373699,15.14,3500.0,0.4,
GJ 179 b,Radial Velocity,1,2288.0,2.41,0.21,0.82,,73.023865,6.476539,12.36,3370.0,0.36,0.38
GJ 273 b,Radial Velocity,2,18.6498,0.091101,0.1,0.00909,,111.85208100000001,5.225785,3.8,3382.0,0.29,0.29
GJ 273 c,Radial Velocity,2,4.7234,0.036467,0.17,0.00371,,111.85208100000001,5.225785,3.8,3382.0,0.29,0.29
GJ 3021 b,Radial Velocity,1,133.71,0.49,0.511,3.37,,4.052823,-79.85118100000001,17.56,5540.0,0.9,0.9
GJ 3138 b,Radial Velocity,3,1.22003,0.0197,0.19,0.0056,,32.295425,-16.339592,,3717.0,0.68,0.5
GJ 3138 c,Radial Velocity,3,5.974,0.057,0.11,0.01315,,32.295425,-16.339592,,3717.0,0.68,0.5
GJ 3138 d,Radial Velocity,3,257.8,0.698,0.32,0.03304,,32.295425,-16.339592,,3717.0,0.68,0.5
GJ 317 b,Radial Velocity,2,692.0,1.15,0.11,2.5,,130.24673,-23.456289,15.1,3510.0,0.42,
GJ 317 c,Radial Velocity,2,5312.0,,0.308,1.54,,130.24673,-23.456289,15.1,3510.0,0.42,
GJ 328 b,Radial Velocity,1,4100.0,4.5,0.37,2.3,,133.781754,1.546508,20.54,3900.0,0.69,
GJ 3293 b,Radial Velocity,4,30.5987,0.14339000000000002,0.06,0.07406,,67.14882,-25.169301,20.2,3466.0,0.42,0.4
GJ 3293 c,Radial Velocity,4,122.6196,0.36175,0.11,0.06636,,67.14882,-25.169301,20.2,3466.0,0.42,0.4
GJ 3293 d,Radial Velocity,4,48.1345,0.19394,0.12,0.02391,,67.14882,-25.169301,20.2,3466.0,0.42,0.4
GJ 3293 e,Radial Velocity,4,13.2543,0.08208,0.21,0.010320000000000001,,67.14882,-25.169301,20.2,3466.0,0.42,0.4
GJ 3323 b,Radial Velocity,2,5.3636,0.03282,0.23,0.00636,,75.48928000000001,-6.946263,5.32,3159.0,0.16,0.12
GJ 3323 c,Radial Velocity,2,40.54,0.1264,0.17,0.00727,,75.48928000000001,-6.946263,5.32,3159.0,0.16,0.12
GJ 3341 b,Radial Velocity,1,14.207,0.089,0.31,0.0208,,78.944663,-31.295951000000002,23.16,3526.0,0.47,0.44
GJ 3470 b,Radial Velocity,1,3.3366496,0.0355,,0.04373,0.408,119.774349,15.391492000000001,25.2,3600.0,0.54,0.55
GJ 3634 b,Radial Velocity,1,2.64561,0.0287,0.08,0.026,,164.646242,-31.143989,19.8,,0.45,0.43
GJ 3779 b,Radial Velocity,1,3.0232,0.026,0.07,0.025169999999999998,,200.736403,24.467626,13.75,3324.0,0.27,0.28
GJ 3942 b,Radial Velocity,1,6.905,0.0608,0.121,0.02246,,242.263092,52.943874,16.94,3867.0,0.63,0.61
GJ 3998 b,Radial Velocity,2,2.64977,0.029,0.0,0.00777,,259.002655,11.057666000000001,17.79,3722.0,0.5,0.49
GJ 3998 c,Radial Velocity,2,13.74,0.089,0.049,0.0197,,259.002655,11.057666000000001,17.79,3722.0,0.5,0.49
GJ 411 b,Radial Velocity,1,12.9532,0.0785,0.22,0.00941,,165.834137,35.969879,2.55,3563.0,0.39,0.39
GJ 4276 b,Radial Velocity,1,13.352,0.082,0.37,0.052129999999999996,,336.321023,59.413835,21.35,3387.0,0.41,0.41
GJ 433 b,Radial Velocity,1,7.3709,0.06,0.08,0.02,,173.86228899999998,-32.539970000000004,9.07,3461.0,0.59,0.5
