P. Name,P. Zone Class,P. Mass Class,P. Composition Class,P. Atmosphere Class,P. Habitable Class,P. Mass (EU),P. Radius (EU),P. Density (EU),P. Gravity (EU),P. Esc Vel (EU),P. SFlux Mean (EU),P. Teq Mean (K),P. Ts Mean (K),P. Surf Press (EU),P. Mag,P. Appar Size (deg),P. Period (days),P. Sem Major Axis (AU),P. Eccentricity,P. Mean Distance (AU),S. Name,S. Constellation,S. Type,S. Mass (SU),S. Radius (SU),S. Teff (K),S. Luminosity (SU),S. Age (Gyrs),S. Distance (pc),S. RA (hrs),S. DEC (deg),S. No. Planets,S. No. Planets HZ,S. Hab Zone Min (AU),S. Hab Zone Max (AU),P. HZD,P. HZC,P. HZA,P. HZI,P. ESI,P. Habitable,P. Hab Moon,P. Confirmed,P. Disc. Method,P. Disc. Year
mu Ara d,Warm,Jovian,gas,hydrogen-rich,non-habitable,165.93,8.94,0.23,2.08,4.31,        1.734499,292.1,,38.6,-22.56,17.05,310.55,0.921,0.07,0.92,mu Ara,Ara,G3 IV-V,1.08,1.25,5700.0,1.468006,6.41,15.3,17.7356,-51.8339,4,2,0.914,2.157,-0.99,5.58,3.14,0.13,0.48,0,0,1,Radial Velocity,      2004.00
mu Ara e,Cold,Jovian,gas,hydrogen-rich,non-habitable,576.74,11.15,0.42,4.64,7.19,      0.05382843,122.5,,239.7,-19.25,21.32,4205.8,5.235,0.1,5.21,mu Ara,Ara,G3 IV-V,1.08,1.25,5700.0,1.468006,6.41,15.3,17.7356,-51.8339,4,2,0.914,2.157,5.96,7.28,10.81,0.07,0.16,0,0,1,Radial Velocity,      2006.00
mu Leo b,Hot,Jovian,gas,hydrogen-rich,non-habitable,763.06,11.42,0.51,5.85,8.17,        41.04071,643.9,,390.9,-26.54,21.83,357.8,1.1,0.09,1.1,mu Leo,Leo,K2III,1.5,11.4,4538.2,49.457726,3.35,38.05,9.8794,26.0069,1,0,5.6160000000000005,13.850999999999999,-2.1,7.69,4.49,0.1,0.12,0,0,1,Radial Velocity,      2014.00
NGC 2423 3 b,Hot,Jovian,gas,hydrogen-rich,non-habitable,3370.16,11.54,2.19,25.31,17.09,        7.450514,417.4,,7391.0,-24.73,22.07,714.3,2.1,0.21,2.05,NGC 2423 3,Pup,,2.4,,,32.124072999999996,0.75,766.0,7.6192,-13.9067,1,0,,,-1.74,11.58,14.33,0.05,0.18,0,0,1,Radial Velocity,      2007.00
NGC 4349 No 127 b,Hot,Jovian,gas,hydrogen-rich,non-habitable,6295.21,10.95,4.79,52.46,23.97,        31.59715,599.9,,30148.0,-26.18,20.93,677.8,2.38,0.19,2.34,NGC 4349 No 127,Cru,,3.9,,,175.71846000000002,0.21,2176.0,12.4022,-61.8717,1,0,,,-2.12,15.22,17.08,0.04,0.08,0,0,1,Radial Velocity,      2007.00
NGTS-1 b,Hot,Jovian,gas,hydrogen-rich,non-habitable,258.17,14.9,0.08,1.16,4.16,        65.19138,723.9,,20.2,-27.62,28.6,2.65,0.0326,0.02,0.03,NGTS-1,Col,M05,0.62,0.57,3916.0,0.069274,,224.0,5.5144,-36.6308,1,0,0.214,0.544,-2.1,11.02,1.26,0.08,0.08,0,0,1,Primary Transit,      2017.00
NGTS-2 b,Hot,Jovian,gas,metals-rich,non-habitable,235.28,17.86,0.04,0.74,3.63,        1153.872,1484.5,,9.7,-31.16,34.47,4.51,0.063,0.04,0.06,NGTS-2,Cen,F5V,1.64,1.7,6478.0,4.576914,2.17,360.3,14.3417,-31.2019,1,0,1.5390000000000001,3.574,-2.45,13.98,0.09,0.07,0.05,0,0,1,Primary Transit,      2018.00
NGTS-3A b,Hot,Jovian,gas,hydrogen-rich,non-habitable,756.7,16.58,0.17,2.75,6.76,        1411.955,1561.7,,125.7,-31.21,31.91,1.68,0.023,0.0,0.02,NGTS-3A,Col,G9V,1.02,0.93,5570.0,0.746924,,1010.0,6.2963,-35.7064,1,0,0.657,1.556,-2.41,12.55,1.58,0.07,0.06,0,0,1,Primary Transit,      2018.00
NLTT 41135 b,Hot,Jovian,gas,hydrogen-rich,non-habitable,10714.58,12.66,5.29,66.89,29.1,        7.476804,421.3,,56631.9,-24.91,24.23,2.89,0.024,0.0,0.02,NLTT 41135,Ser,M5.1,0.19,0.21,3230.0,0.004307,,22.7,15.7678,4.6917,1,0,0.054000000000000006,0.142,-1.68,26.16,25.68,0.03,0.19,0,0,1,Primary Transit,      2010.00
NN Ser(AB) c,Cold,Jovian,gas,hydrogen-rich,non-habitable,2196.97,11.67,1.38,16.12,13.72,     0.006016799,71.0,,3033.9,-16.96,22.33,5660.0,5.38,0.0,5.38,NN Ser(AB),Ser,WD+M,0.65,,,0.174153,,500.0,15.8822,12.9131,2,0,,,22.66,9.94,29.75,0.03,0.08,0,0,1,Pulsar,      2010.00
NN Ser(AB) d,Cold,Jovian,gas,hydrogen-rich,non-habitable,724.9,11.38,0.49,5.6,7.98,      0.01546662,89.2,,356.6,-17.95,21.76,2830.0,3.39,0.2,3.32,NN Ser(AB),Ser,WD+M,0.65,,,0.174153,,500.0,15.8822,12.9131,2,0,,,13.44,7.61,14.51,0.05,0.11,0,0,1,Pulsar,      2009.00
nu Oph b,Hot,Jovian,gas,hydrogen-rich,non-habitable,7630.56,10.68,6.27,66.95,26.74,        33.70704,611.9,,47856.7,-26.19,20.39,530.32,1.9,0.13,1.88,nu Oph,Oph,K0III,3.04,15.1,4928.0,120.649768,,46.8,17.9839,-9.7736,2,0,8.633,20.932,-2.09,16.8,19.11,0.04,0.08,0,0,1,Radial Velocity,      2004.00
nu Oph c,Hot,Jovian,gas,hydrogen-rich,non-habitable,8584.38,10.48,7.45,78.1,28.61,        3.296243,341.2,,63949.3,-23.62,20.03,3186.0,6.1,0.18,6.0,nu Oph,Oph,K0III,3.04,15.1,4928.0,120.649768,,46.8,17.9839,-9.7736,2,0,8.633,20.932,-1.41,17.91,28.07,0.03,0.26,0,0,1,Radial Velocity,      2010.00
NY Vir b,Cold,Jovian,gas,hydrogen-rich,non-habitable,883.87,11.52,0.58,6.66,8.76,      0.01127731,83.0,,511.0,-17.61,22.03,2987.74,3.39,0.0,3.39,NY Vir,Vir,B D,0.6,0.01,33000.0,0.1296,,,13.6467,-2.0303,2,0,0.25,0.575,18.29,7.91,16.86,0.04,0.1,0,0,1,Pulsar,      2011.00
NY Vir c,Cold,Jovian,gas,hydrogen-rich,non-habitable,1427.55,11.68,0.9,10.47,11.06,     0.002279619,55.7,,1280.4,-15.9,22.33,9861.75,7.54,0.0,7.54,NY Vir,Vir,B D,0.6,0.01,33000.0,0.1296,,,13.6467,-2.0303,2,0,0.25,0.575,43.77,8.8,26.92,0.02,0.08,0,0,1,Pulsar,      2011.00
OGLE-2003-BLG-235L b,Cold,Jovian,gas,hydrogen-rich,non-habitable,826.64,11.48,0.55,6.27,8.49,     0.006056502,71.1,,451.9,-16.93,21.95,,5.1,0.0,5.1,OGLE-2003-BLG-235L,Sgr,,0.63,,,0.15753,,5200.0,18.0878,-28.895,1,0,,,22.57,7.81,17.73,0.03,0.1,0,0,1,Microlensing,      2004.00
OGLE-2005-071L b,Cold,Jovian,gas,hydrogen-rich,non-habitable,1112.79,11.62,0.71,8.24,9.78,     0.003454827,61.8,,788.4,-16.34,22.23,3600.0,3.6,0.0,3.6,OGLE-2005-071L,Sco,,0.46,,,0.044775,,3300.0,17.8358,-34.6731,1,0,,,30.69,8.3,22.34,0.03,0.09,0,0,1,Microlensing,      2005.00
OGLE-2005-169L b,Cold,Neptunian,gas,hydrogen-rich,non-habitable,14.12,4.14,0.2,0.82,1.85,      0.01416695,87.9,,2.8,-15.63,7.87,,4.0,0.0,4.0,OGLE-2005-169L,Sgr,K5,0.69,0.6,5150.0,0.226671,,4100.0,18.1014,-30.7325,1,0,0.37,0.89,12.97,3.01,2.08,0.07,0.25,0,0,1,Microlensing,      2005.00
OGLE-2005-390L b,Cold,Superterran,rocky-iron,hydrogen-rich,non-habitable,5.4,1.69,1.12,1.89,1.79,     0.001602734,51.0,92.7,6.0,-11.3,3.21,3500.0,2.1,0.0,2.1,OGLE-2005-390L,Sco,M,0.22,0.19,3840.0,0.0070680000000000005,,6500.0,17.9053,-30.3772,1,0,0.068,0.175,37.29,-0.15,3.11,0.03,0.27,0,0,1,Microlensing,      2005.00
OGLE-2006-109L b,Cold,Jovian,gas,hydrogen-rich,non-habitable,231.14,9.65,0.26,2.48,4.89,      0.01278866,85.7,,59.5,-17.36,18.42,1790.0,2.3,0.0,2.3,OGLE-2006-109L,Sco,,0.51,,,0.067652,,1510.0,17.8764,-30.0878,2,0,,,14.77,6.03,8.49,0.05,0.14,0,0,1,Microlensing,      2008.00
OGLE-2006-109L c,Cold,Jovian,gas,hydrogen-rich,non-habitable,86.16,7.46,0.21,1.55,3.4,     0.003379073,61.2,,17.9,-15.36,14.22,4931.0,4.5,0.15,4.45,OGLE-2006-109L,Sco,,0.51,,,0.067652,,1510.0,17.8764,-30.0878,2,0,,,31.35,4.73,6.64,0.03,0.17,0,0,1,Microlensing,      2008.00
OGLE-2007-BLG-349(AB) b,Cold,Jovian,gas,hydrogen-rich,non-habitable,79.49,7.28,0.21,1.5,3.3,      0.03788208,112.4,,16.4,-17.93,13.87,,2.59,0.0,2.59,OGLE-2007-BLG-349(AB),Sgr,,0.71,,,0.254117,,2760.0,18.09,-26.4219,1,0,,,7.54,4.63,4.29,0.09,0.21,0,0,1,Microlensing,      2016.00
OGLE-2007-BLG-368L b,Cold,Neptunian,gas,hydrogen-rich,non-habitable,22.07,4.81,0.2,0.96,2.14,      0.01540607,89.8,,4.4,-16.05,9.14,,3.3,0.0,3.3,OGLE-2007-BLG-368L,Sco,,0.64,,,0.167772,,5900.0,17.9406,-32.2375,1,0,,,13.23,3.33,2.64,0.07,0.24,0,0,1,Microlensing,      2008.00
OGLE-2008-BLG-092L b,Cold,Jovian,gas,hydrogen-rich,non-habitable,57.23,6.58,0.2,1.32,2.95,     0.001129408,46.7,,11.5,-13.88,12.52,,15.0,0.0,15.0,OGLE-2008-BLG-092L,Sco,,0.71,,,0.254117,,7000.0,17.7915,-34.7266,1,0,,,55.53,4.24,6.62,0.02,0.18,0,0,1,Microlensing,      2014.00
OGLE-2008-BLG-355L b,,Jovian,gas,,non-habitable,1462.52,11.68,0.92,10.72,11.19,             ,,,1343.1,,22.33,,,0.0,,OGLE-2008-BLG-355L,Sgr,,0.37,,,0.023366,,6800.0,17.9858,-29.2405,1,0,,,,8.85,,,,0,0,1,Microlensing,      2014.00
OGLE-2009-BLG-151L b,Cold,Jovian,gas,hydrogen-rich,non-habitable,2384.55,11.66,1.5,17.53,14.3,    0.0002323439,31.5,,3585.2,-13.4,22.3,,0.31,0.0,0.31,OGLE-2009-BLG-151L,Sgr,,0.02,,,2.2e-05,,390.0,17.9061,-29.0558,1,0,,,125.4,10.21,47.56,0.01,0.07,0,0,1,Microlensing,      2013.00
OGLE-2011-BLG-0251L b,Cold,Jovian,gas,hydrogen-rich,non-habitable,305.22,10.19,0.29,2.94,5.47,     0.003275042,60.9,,87.9,-16.0,19.47,,3.86,0.0,3.86,OGLE-2011-BLG-0251L,Oph,,0.47,,,0.048797,,4090.0,17.6373,-27.1361,1,0,,,31.59,6.41,11.82,0.03,0.12,0,0,1,Microlensing,      2012.00
OGLE-2011-BLG-0265L b,Cold,Jovian,gas,hydrogen-rich,non-habitable,279.79,10.03,0.28,2.78,5.28,     0.001797438,52.5,,77.6,-15.31,19.15,,1.89,0.0,1.89,OGLE-2011-BLG-0265L,Sgr,,0.21,,,0.006421,,4380.0,17.9633,-27.3944,1,0,,,43.5,6.29,12.37,0.02,0.12,0,0,1,Microlensing,      2015.00
OGLE-2011-BLG-0420L b,Cold,Jovian,gas,hydrogen-rich,non-habitable,2988.64,11.6,1.92,22.22,16.05,     0.001316688,48.5,,5727.1,-15.28,22.18,,0.19,0.0,0.19,OGLE-2011-BLG-0420L,Sgr,,0.03,,,4.8e-05,,1990.0,17.8489,-29.825,1,0,,,51.24,11.06,42.82,0.01,0.06,0,0,1,Microlensing,      2013.00
OGLE-2012-BLG-0026L b,Cold,Neptunian,gas,hydrogen-rich,non-habitable,34.97,5.6,0.2,1.11,2.5,      0.03098337,106.9,,7.0,-17.14,10.66,,3.82,0.0,3.82,OGLE-2012-BLG-0026L,Oph,,0.82,,,0.452122,,4080.0,17.5719,-27.1428,2,0,,,8.6,3.73,2.94,0.09,0.24,0,0,1,Microlensing,      2012.00
OGLE-2012-BLG-0026L c,Cold,Jovian,gas,hydrogen-rich,non-habitable,216.2,9.51,0.25,2.39,4.77,      0.02109082,97.1,,54.4,-17.88,18.15,,4.63,0.0,4.63,OGLE-2012-BLG-0026L,Oph,,0.82,,,0.452122,,4080.0,17.5719,-27.1428,2,0,,,10.95,5.94,7.63,0.06,0.15,0,0,1,Microlensing,      2012.00
OGLE-2012-BLG-0358L b,Cold,Jovian,gas,hydrogen-rich,non-habitable,588.19,11.18,0.42,4.71,7.25,    4.680170e-05,21.1,,247.8,-11.56,21.36,,0.87,0.0,0.87,OGLE-2012-BLG-0358L,Oph,,0.02,,,3.5e-05,,1760.0,17.7131,-24.2611,1,0,,,282.43,7.31,28.82,0.0,0.1,0,0,1,Microlensing,      2013.00
OGLE-2012-BLG-0406L b,Cold,Jovian,gas,hydrogen-rich,non-habitable,867.98,11.51,0.57,6.55,8.68,     0.003148999,60.4,,494.2,-16.22,22.01,,3.45,0.0,3.45,OGLE-2012-BLG-0406L,Sco,,0.44,,,0.037481,,4970.0,17.8883,-30.4711,1,0,,,32.26,7.89,19.88,0.03,0.09,0,0,1,Microlensing,      2013.00
OGLE-2012-BLG-0563L b,Cold,Jovian,gas,hydrogen-rich,non-habitable,124.0,8.28,0.22,1.81,3.87,      0.03512901,110.3,,27.1,-18.13,15.79,,0.74,0.0,0.74,OGLE-2012-BLG-0563L,Sgr,G,0.34,0.13,5907.0,0.019237,,1300.0,18.0994,-27.712,1,0,0.10300000000000001,0.243,8.15,5.19,5.39,0.08,0.19,0,0,1,Microlensing,      2015.00
OGLE-2012-BLG-0724L b,Cold,Jovian,gas,hydrogen-rich,non-habitable,149.43,8.7,0.23,1.97,4.14,     0.005211986,68.5,,33.9,-16.16,16.6,,1.6,0.0,1.6,OGLE-2012-BLG-0724L,Sgr,M,0.29,0.26,3840.0,0.013343,,6700.0,17.9311,-29.8186,1,0,0.094,0.24,19.66,5.44,7.95,0.04,0.15,0,0,1,Microlensing,      2016.00
OGLE-2012-BLG-0950L b,Cold,Neptunian,gas,hydrogen-rich,non-habitable,34.97,5.6,0.2,1.11,2.5,      0.01349039,86.8,,7.0,-16.24,10.66,,2.7,0.0,2.7,OGLE-2012-BLG-0950L,Sgr,M,0.56,0.35,5500.0,0.098345,,3000.0,18.1346,-29.7316,1,0,0.239,0.568,13.96,3.73,3.45,0.06,0.22,0,0,1,Microlensing,      2016.00
OGLE-2013-BLG-0102L b,Cold,Jovian,gas,hydrogen-rich,non-habitable,4323.98,11.37,2.94,33.47,19.5,     0.001679279,51.6,,12733.3,-15.51,21.73,,0.8,0.0,0.8,OGLE-2013-BLG-0102L,Sco,,0.1,,,0.001075,,3020.0,17.8686,-31.6906,1,0,,,45.09,12.82,50.78,0.01,0.06,0,0,1,Microlensing,      2014.00
OGLE-2013-BLG-0132L b,Cold,Jovian,gas,hydrogen-rich,non-habitable,92.2,7.61,0.21,1.59,3.48,     0.006561000,72.5,,19.3,-16.12,14.51,,3.6,0.0,3.6,OGLE-2013-BLG-0132L,Sgr,,0.54,,,0.085031,,3900.0,17.9843,-28.421,1,0,,,21.59,4.81,6.17,0.04,0.17,0,0,1,Microlensing,      2017.00
OGLE-2013-BLG-0341L b,Cold,Terran,rocky-iron,hydrogen-rich,non-habitable,1.66,1.21,0.93,1.13,1.17,     0.003079489,60.0,95.9,1.5,-11.29,2.31,,0.702,0.0,0.7,OGLE-2013-BLG-0341L,Sgr,,0.11,,,0.001518,,911.0,17.8686,-29.8461,1,0,,,32.65,-0.17,1.19,0.03,0.29,0,0,1,Microlensing,      2014.00
OGLE-2013-BLG-1721 b,Cold,Jovian,gas,hydrogen-rich,non-habitable,203.48,9.38,0.25,2.31,4.66,     0.006623455,72.7,,50.2,-16.58,17.9,,2.6,0.0,2.6,OGLE-2013-BLG-1721,Sco,,0.46,,,0.044775,,6300.0,17.8751,-30.2927,1,0,,,21.48,5.86,8.83,0.04,0.14,0,0,1,Microlensing,      2017.00
OGLE-2013-BLG-1761L b,Hot,Jovian,gas,hydrogen-rich,non-habitable,890.23,11.52,0.58,6.7,8.79,        4.277137,366.4,,517.8,-24.09,22.04,,1.8,0.0,1.8,OGLE-2013-BLG-1761L,Sgr,M/K,0.33,8.46,3840.0,13.857923999999999,,6900.0,17.8939,-28.8953,1,0,3.029,7.728,-1.52,7.93,7.15,0.08,0.28,0,0,1,Microlensing,      2017.00
OGLE-2014-BLG-0124L b,Cold,Jovian,gas,hydrogen-rich,non-habitable,203.48,9.38,0.25,2.31,4.66,      0.05180856,121.5,,50.2,-18.83,17.9,,3.48,0.0,3.48,OGLE-2014-BLG-0124L,Sgr,,0.89,,,0.627422,,3600.0,18.0414,-28.3964,1,0,,,6.09,5.86,6.44,0.09,0.19,0,0,1,Microlensing,      2014.00
OGLE-2014-BLG-0257L b,Cold,Jovian,gas,hydrogen-rich,non-habitable,11445.84,9.96,11.59,115.42,33.9,      0.01355818,86.9,,132660.4,-17.5,19.01,,0.61,0.0,0.61,OGLE-2014-BLG-0257L,Sgr,M,0.19,0.16,3840.0,0.005045,,1250.0,18.03,-28.2619,1,0,0.057999999999999996,0.147,11.32,21.27,68.56,0.01,0.06,0,0,1,Microlensing,      2016.00
OGLE-2014-BLG-0676L b,Cold,Jovian,gas,hydrogen-rich,non-habitable,982.43,11.58,0.63,7.33,9.21,     0.007632405,75.3,,622.3,-17.2,22.13,,4.4,0.0,4.4,OGLE-2014-BLG-0676L,Sco,,0.62,,,0.147763,,2220.0,17.8736,-30.5483,1,0,,,19.84,8.09,18.79,0.03,0.1,0,0,1,Microlensing,      2016.00
OGLE-2014-BLG-1722 b,Cold,Jovian,gas,hydrogen-rich,non-habitable,55.32,6.51,0.2,1.31,2.92,     0.007743881,75.6,,11.1,-15.96,12.39,,1.9,0.0,1.9,OGLE-2014-BLG-1722,Sco,,0.4,,,0.027955,,6400.0,17.9169,-31.4692,2,0,,,19.68,4.21,4.76,0.05,0.19,0,0,1,Microlensing,      2018.00
OGLE-2014-BLG-1722 c,Cold,Jovian,gas,hydrogen-rich,non-habitable,83.71,7.4,0.21,1.53,3.36,     0.004472865,65.9,,17.3,-15.64,14.09,,2.5,0.0,2.5,OGLE-2014-BLG-1722,Sco,,0.4,,,0.027955,,6400.0,17.9169,-31.4692,2,0,,,26.67,4.69,6.28,0.03,0.17,0,0,1,Microlensing,      2018.00
OGLE-2014:BLG-1760L b,Cold,Jovian,gas,hydrogen-rich,non-habitable,182.18,9.14,0.24,2.18,4.46,      0.02209045,98.2,,43.4,-17.84,17.44,,1.75,0.0,1.75,OGLE-2014:BLG-1760L,Sgr,,0.51,,,0.067652,,6060.0,17.9606,-28.9631,1,0,,,10.64,5.71,6.98,0.07,0.16,0,0,1,Microlensing,      2016.00
OGLE-2015-BLG-0051L b,Hot,Jovian,gas,hydrogen-rich,non-habitable,228.92,9.63,0.26,2.47,4.88,        30.26788,597.6,,58.7,-25.84,18.38,,0.73,0.0,0.73,OGLE-2015-BLG-0051L,Sgr,G,0.1,3.81,5940.0,16.129753,,8200.0,17.9775,-28.0317,1,0,2.985,7.002999999999999,-2.12,6.02,2.13,0.13,0.17,0,0,1,Microlensing,      2016.00
OGLE-2015-BLG-0954L b,Cold,Jovian,gas,hydrogen-rich,non-habitable,1398.94,11.67,0.88,10.27,10.95,      0.01622667,90.9,,1230.3,-18.04,22.32,,1.2,0.0,1.2,OGLE-2015-BLG-0954L,Sgr,,0.37,,,0.023366,,600.0,18.0122,-28.6608,1,0,,,12.83,8.75,20.46,0.04,0.1,0,0,1,Microlensing,      2016.00
OGLE-2015-BLG-0966L b,Cold,Neptunian,gas,hydrogen-rich,non-habitable,20.98,4.73,0.2,0.94,2.11,     0.004313280,65.3,,4.2,-14.62,8.99,,2.4,0.0,2.4,OGLE-2015-BLG-0966L,Sgr,M,0.38,0.36,3840.0,0.024844,,2900.0,17.9169,-29.0472,1,0,0.128,0.327,21.83,3.29,3.31,0.04,0.22,0,0,1,Microlensing,      2015.00
OGLE-2015-BLG-1319L b,Hot,Jovian,gas,hydrogen-rich,non-habitable,14307.3,9.5,16.66,158.37,38.8,        1.885297,298.5,,238397.5,-22.78,18.14,,0.245,0.0,0.24,OGLE-2015-BLG-1319L,Sco,K,0.58,0.42,5150.0,0.11316500000000002,,5000.0,17.9628,-32.4722,1,0,0.262,0.629,-1.09,24.7,41.68,0.02,0.31,0,0,1,Microlensing,      2016.00
OGLE-2016-BLG-0613LAB b,Cold,Jovian,gas,hydrogen-rich,non-habitable,1328.99,11.67,0.84,9.76,10.67,      0.02441406,100.7,,1112.3,-18.48,22.31,,6.4,0.0,6.4,OGLE-2016-BLG-0613LAB,Sgr,,1.0,,,1.0,,3410.0,17.9508,-28.1161,1,0,,,10.0,8.65,18.83,0.04,0.11,0,0,1,Microlensing,      2017.00
OGLE-2016-BLG-0693L b,,Jovian,gas,,non-habitable,15579.06,9.32,19.22,179.22,40.88,             ,,,299455.8,,17.79,,5.0,0.0,5.0,OGLE-2016-BLG-0693L,Sgr,K,,,5150.0,,,5000.0,17.832,-23.0399,1,0,,,,26.27,,,,0,0,1,Microlensing,      2017.00
OGLE-2016-BLG-596L b,,Jovian,gas,,non-habitable,3878.87,11.45,2.58,29.58,18.4,             ,,,10019.3,,21.89,,,0.0,,OGLE-2016-BLG-596L,Sco,,,,,,,,17.8536,-30.8498,1,0,,,,12.25,,,,0,0,1,Microlensing,      2016.00
OGLE-2016-BLG-1067L b,Cold,Jovian,gas,hydrogen-rich,non-habitable,136.71,8.5,0.22,1.89,4.01,     0.004991245,67.7,,30.4,-16.06,16.21,,1.7,0.0,1.7,OGLE-2016-BLG-1067L,Sgr,M,0.3,0.27,3840.0,0.014425,,3730.0,18.2136,-27.0126,1,0,0.098,0.249,20.14,5.32,7.69,0.04,0.15,0,0,1,Microlensing,      2018.00
OGLE-2016-BLG-1112L b,Cold,Jovian,gas,hydrogen-rich,non-habitable,10078.7,10.2,9.5,96.87,31.43,      0.01413457,87.8,,95719.3,-17.59,19.48,,9.63,0.0,9.63,OGLE-2016-BLG-1112L,Sgr,,1.07,,,1.3107959999999999,,4840.0,18.1434,-28.6658,1,0,,,13.92,19.66,63.11,0.01,0.06,0,0,1,Microlensing,      2017.00
OGLE-2016-BLG-1190L b,Cold,Jovian,gas,hydrogen-rich,non-habitable,4254.04,11.38,2.89,32.85,19.33,       0.1403313,150.4,,12280.0,-20.44,21.76,1223.6,2.17,0.42,1.97,OGLE-2016-BLG-1190L,Sgr,,0.88,,,0.599695,,6770.0,17.9814,-27.6136,1,0,,,3.12,12.73,27.84,0.03,0.18,0,0,1,Microlensing,      2017.00
OGLE-2016-BLG-1195L b,Cold,Terran,rocky-iron,hydrogen-rich,non-habitable,1.43,1.16,0.91,1.06,1.11,    0.0004837595,37.8,72.9,1.3,-9.17,2.21,,1.16,0.0,1.16,OGLE-2016-BLG-1195L,Sco,,0.08,,,0.000651,,3910.0,17.9233,-30.2072,1,0,,,86.15,-0.17,1.76,0.01,0.29,0,0,1,Microlensing,      2017.00
OGLE-2016-BLG-1266 b,Cold,Jovian,gas,hydrogen-rich,non-habitable,3783.49,11.47,2.51,28.76,18.16,    9.107851e-05,24.9,,9489.2,-12.35,21.93,,0.42,0.0,0.42,OGLE-2016-BLG-1266,Sgr,,0.02,,,1.6e-05,,3050.0,17.8569,-29.7422,1,0,,,201.76,12.12,68.65,0.0,0.06,0,0,1,Microlensing,      2018.00
OGLE-2016-BLG-1469L b,Cold,Jovian,gas,hydrogen-rich,non-habitable,4323.98,11.37,2.94,33.47,19.5,     0.001956838,53.6,,12733.3,-15.67,21.73,,0.33,0.0,0.33,OGLE-2016-BLG-1469L,Sgr,,0.05,,,0.000213,,4500.0,18.1297,-26.2899,1,0,,,41.59,12.82,49.78,0.01,0.06,0,0,1,Microlensing,      2017.00
OGLE-2017-BLG-0173 b,Cold,Jovian,gas,hydrogen-rich,non-habitable,2886.9,11.61,1.84,21.42,15.77,     0.002187652,55.1,,5325.3,-15.84,22.2,,3.75,0.0,3.75,OGLE-2017-BLG-0173,Sgr,,0.42,,,0.030764,,4700.0,17.8647,-29.2714,1,0,,,39.2,10.92,39.34,0.02,0.07,0,0,1,Microlensing,      2017.00
OGLE-2017-BLG-1140L b,Cold,Jovian,gas,hydrogen-rich,non-habitable,518.24,11.03,0.39,4.26,6.86,     0.006374986,72.0,,200.3,-16.9,21.07,,1.02,0.0,1.02,OGLE-2017-BLG-1140L,Sgr,M3,0.21,0.19,3840.0,0.006633,,7350.0,17.7922,-24.5228,1,0,0.066,0.16899999999999998,17.55,7.13,13.89,0.04,0.11,0,0,1,Microlensing,      2018.00
OGLE-2017-BLG-1434L b,Cold,Terran,rocky-iron,hydrogen-rich,non-habitable,4.45,1.6,1.08,1.73,1.67,     0.005622609,69.8,110.5,4.8,-12.55,3.05,,1.18,0.0,1.18,OGLE-2017-BLG-1434L,Sco,M,0.23,0.2,3840.0,0.007829000000000001,,860.0,17.8854,-30.2457,1,0,0.07200000000000001,0.184,18.84,-0.15,2.13,0.05,0.28,0,0,1,Pulsar,          
OGLE-2017-BLG-1522 b,Cold,Jovian,gas,hydrogen-rich,non-habitable,238.46,9.71,0.26,2.53,4.95,    0.0005550944,39.1,,62.1,-13.96,18.54,,0.59,0.0,0.59,OGLE-2017-BLG-1522,Sgr,,0.05,,,0.000193,,990.0,18.0214,-28.4619,1,0,,,80.26,6.07,13.59,0.01,0.13,0,0,1,Microlensing,      2018.00
OGLE-GD-ECL-11388 b,Cold,Jovian,gas,hydrogen-rich,non-habitable,3974.25,11.43,2.66,30.4,18.64,      0.01044485,81.4,,10567.3,-17.51,21.86,3250.0,3.6409,0.0,3.64,OGLE-GD-ECL-11388,Cen,sdB2VII,0.61,,,0.138458,,,13.5806,-64.1422,1,0,,,16.6,12.37,38.21,0.02,0.07,0,0,1,Other,      2016.00
OGLE-TR-10 b,Hot,Jovian,gas,metals-rich,non-habitable,216.2,19.26,0.03,0.58,3.35,        949.2634,1414.1,,6.5,-31.11,37.26,3.1,0.0416,0.0,0.04,OGLE-TR-10,Sgr,G or K,1.18,1.16,6075.0,1.644337,1.1,1500.0,17.8578,-29.8761,1,0,0.945,2.211,-2.43,15.47,-0.01,0.06,0.05,0,0,1,Primary Transit,      2004.00
OGLE-TR-56 b,Hot,Jovian,gas,hydrogen-rich,non-habitable,413.32,13.44,0.17,2.29,5.55,        886.7832,1390.3,,70.4,-30.25,25.76,1.21,0.0225,0.0,0.02,OGLE-TR-56,Sgr,G,1.17,1.32,5940.0,0.448934,2.0,1500.0,17.9431,-29.5392,1,0,0.498,1.168,-2.42,9.39,1.15,0.09,0.07,0,0,1,Primary Transit,      2002.00
OGLE-TR-111 b,Hot,Jovian,gas,metals-rich,non-habitable,171.69,12.06,0.1,1.18,3.77,        185.3224,940.0,,16.8,-28.3,23.08,4.01,0.047,0.0,0.05,OGLE-TR-111,Car,G or K,0.82,0.83,5070.0,0.409377,1.1,1500.0,10.8883,-61.4056,1,0,0.499,1.204,-2.28,8.68,0.65,0.1,0.08,0,0,1,Primary Transit,      2004.00
